age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
9-10,"safety awareness, digital safety & personal boundaries",Encourage safe behavior near water.,Following water safety rules,Water accidents happen quickly.,Review rules before entering water.,"['Supervise', 'Repeat rules']","['Allow rough play', 'Ignore signs']",Water needs respect.
9-10,"safety awareness, digital safety & personal boundaries",Support calm response to alarms.,Responding calmly to alarms or sirens,Calm responses enable safe action.,Explain common alarms and responses.,"['Practice calmly', 'Explain purpose']","['Create panic', 'Ignore sounds']",Alarms guide action.
9-10,"safety awareness, digital safety & personal boundaries",Encourage reflection on safety habits.,Naming one safe choice made each day,Reflection reinforces habits.,Ask one daily safety reflection question.,"['Keep it short', 'Stay positive']","['Lecture', 'Focus only on mistakes']",Notice safe choices.
9-10,"creativity, innovation & exploration",Encourage idea generation without fear of mistakes.,Sharing creative ideas freely,Freedom to share ideas builds confidence and originality.,Create a no-judgment space for ideas during discussions.,"['Praise effort', 'Welcome all ideas']","['Criticize early', 'Compare ideas']",Ideas grow when they feel safe.
9-10,"creativity, innovation & exploration",Support creative writing skills.,Developing original story plots,Story creation strengthens imagination and language.,Ask open-ended prompts like “What happens next?”,"['Encourage details', 'Ask curious questions']","['Rewrite their story', 'Correct too much']",Let the story be theirs.
9-10,"creativity, innovation & exploration",Encourage curiosity-driven exploration.,Asking ‘why’ and ‘how’ questions,Curiosity fuels learning and problem-solving.,Pause to explore questions instead of rushing answers.,"['Explore together', 'Model curiosity']","['Shut down questions', 'Rush explanations']",Questions spark discovery.
9-10,"creativity, innovation & exploration",Build hands-on creativity.,Designing and building simple models,Building strengthens spatial thinking and planning.,Provide open-ended materials like blocks or recyclables.,"['Let them plan', 'Encourage testing']","['Give step-by-step plans', 'Fix mistakes']",Building teaches thinking.
9-10,"creativity, innovation & exploration",Encourage creative problem-solving.,Finding multiple solutions to one problem,Flexible thinking supports innovation.,Ask for two or three possible solutions.,"['Value variety', 'Discuss pros and cons']","['Insist on one right answer', 'Rush decisions']",More options mean more creativity.
9-10,"creativity, innovation & exploration",Support artistic expression.,Experimenting with different art styles,Exploration builds confidence in self-expression.,"Introduce varied materials like paint, clay, or collage.","['Encourage experimentation', 'Praise effort']","['Focus only on neatness', 'Compare artwork']",Process matters more than product.
9-10,"creativity, innovation & exploration",Encourage scientific curiosity.,Designing simple experiments,Experimentation builds reasoning and observation.,Ask what they predict before trying something.,"['Encourage predictions', 'Observe together']","['Give answers first', 'Rush results']",Curiosity leads discovery.
9-10,"creativity, innovation & exploration",Build confidence in creative risk-taking.,Trying unfamiliar creative activities,New experiences expand interests and skills.,Offer choices and encourage trying once.,"['Normalize uncertainty', 'Praise trying']","['Force participation', 'Dismiss fear']",Trying is success.
9-10,"creativity, innovation & exploration",Encourage imagination through play.,Creating imaginative scenarios during play,Imaginative play supports creativity and empathy.,Join play briefly and follow their lead.,"['Follow their ideas', 'Ask playful questions']","['Control the story', 'Correct play']",Imagination leads the way.
9-10,"creativity, innovation & exploration",Support reflection on creative work.,Explaining the idea behind a creation,Reflection deepens understanding and pride.,Ask them to describe what they made and why.,"['Listen fully', 'Ask open questions']","['Judge quickly', 'Interrupt explanations']",Talking about ideas strengthens them.
9-10,"creativity, innovation & exploration",Encourage flexible thinking in creativity.,Changing ideas mid-project without frustration,Flexibility supports innovation and resilience.,Normalize revising plans when new ideas emerge.,"['Praise adaptability', 'Model revisions']","['Insist on first idea', 'Label changes as failure']",Revisions are part of creativity.
9-10,"creativity, innovation & exploration",Support creative research skills.,Finding inspiration from books or real examples,Inspiration expands creative possibilities.,Browse examples together before starting a project.,"['Explore sources', 'Encourage adaptation']","['Promote copying', 'Limit exposure']",Inspiration sparks ideas.
9-10,"creativity, innovation & exploration",Encourage persistence in creative tasks.,Continuing creative work after initial difficulty,Persistence builds mastery and confidence.,"Break work into small, manageable steps.","['Encourage breaks', 'Praise effort']","['Finish for them', 'Rush completion']",Small steps keep creativity moving.
9-10,"creativity, innovation & exploration",Build originality in problem-solving.,Combining ideas from different sources,Synthesis leads to innovative outcomes.,Ask how two ideas could work together.,"['Encourage mixing', 'Discuss possibilities']","['Limit to one source', 'Judge quickly']",New ideas come from mixing.
9-10,"creativity, innovation & exploration",Support visual thinking.,Sketching ideas before building or writing,Visual planning clarifies complex ideas.,Provide paper for rough sketches first.,"['Value rough drafts', 'Encourage labeling']","['Demand neatness', 'Skip planning']",Sketching clears thinking.
9-10,"creativity, innovation & exploration",Encourage experimentation with materials.,Testing how different materials behave,Experimentation builds scientific creativity.,Invite testing materials for strength or flexibility.,"['Encourage trials', 'Discuss results']","['Predict outcomes for them', 'Limit exploration']",Test to learn.
9-10,"creativity, innovation & exploration",Build storytelling structure awareness.,"Organizing stories with a beginning, middle, and end",Structure strengthens communication.,Ask guiding questions for each story part.,"['Use prompts', 'Encourage sequencing']","['Rewrite content', 'Overcorrect language']",Structure supports imagination.
9-10,"creativity, innovation & exploration",Support musical creativity.,Creating simple rhythms or tunes,Music creation builds pattern recognition.,Use household items to explore rhythms.,"['Encourage exploration', 'Join briefly']","['Correct rhythm', 'Demand perfection']",Music grows through play.
9-10,"creativity, innovation & exploration",Encourage creative reflection.,Evaluating what worked in a creative project,Reflection improves future creativity.,Ask one question about what they liked most.,"['Keep it positive', 'Listen carefully']","['List flaws', 'Overanalyze']",Reflection fuels growth.
9-10,"creativity, innovation & exploration",Support imaginative thinking through constraints.,Creating within simple limits,Constraints can boost creativity.,Set one or two gentle limits for a project.,"['Explain limits', 'Encourage creativity within them']","['Overconstrain', 'Remove all freedom']",Limits can inspire.
9-10,"creativity, innovation & exploration",Encourage collaborative creativity.,Building ideas together with others,Collaboration expands creative thinking.,Assign shared goals with flexible roles.,"['Encourage listening', 'Value all contributions']","['Assign rigid roles', 'Favor one idea']",Together creates more.
9-10,"creativity, innovation & exploration",Support curiosity about how things work.,Taking apart safe objects to explore,Hands-on exploration builds understanding.,Use broken or safe items for exploration.,"['Supervise', 'Encourage questions']","['Allow unsafe items', 'Rush reassembly']",Exploring builds insight.
9-10,"creativity, innovation & exploration",Encourage imaginative language use.,Using descriptive words in creative work,Rich language enhances expression.,Prompt with sensory questions like sight or sound.,"['Model description', 'Praise word choice']","['Correct excessively', 'Limit vocabulary']",Details bring ideas alive.
9-10,"creativity, innovation & exploration",Build confidence in presenting creative work.,Sharing creations with others,Sharing builds communication and pride.,Practice explaining work to a friendly audience.,"['Start small', 'Praise courage']","['Force presentations', 'Critique publicly']",Sharing builds confidence.
9-10,"creativity, innovation & exploration",Encourage exploration beyond screens.,Finding creative inspiration outdoors,Nature stimulates imagination and curiosity.,"Invite observing patterns, shapes, or sounds outside.","['Explore together', 'Ask observations']","['Rush outings', 'Distract with screens']",Nature feeds creativity.
9-10,"creativity, innovation & exploration",Support learning from creative failure.,Trying again after creative attempts fail,Resilience supports long-term creativity.,Discuss what could be changed next time.,"['Normalize failure', 'Encourage retry']","['Fix outcomes', 'Show disappointment']",Failure teaches improvement.
9-10,"creativity, innovation & exploration",Encourage pattern recognition.,"Finding patterns in art, music, or nature",Patterns support creative and logical thinking.,Ask where patterns repeat or change.,"['Encourage noticing', 'Discuss findings']","['Give answers', 'Rush observation']",Patterns reveal structure.
9-10,"creativity, innovation & exploration",Build confidence in asking creative questions.,Questioning how ideas could improve,Questioning drives innovation.,Ask “What could make this better?” gently.,"['Encourage curiosity', 'Stay supportive']","['Turn into criticism', 'Demand changes']",Questions spark improvement.
9-10,"creativity, innovation & exploration",Support sustained creative focus.,Staying engaged in a creative task for longer periods,Sustained focus deepens creativity.,Set a clear start and gentle end time.,"['Reduce interruptions', 'Acknowledge focus']","['Interrupt often', 'Push past fatigue']",Focus grows with practice.
9-10,"creativity, innovation & exploration",Encourage curiosity through observation.,Noticing small details others miss,Observation sharpens creative thinking.,Ask the child to name three new details they notice.,"['Slow down activities', 'Praise noticing']","['Rush experiences', 'Dismiss observations']",Details spark ideas.
9-10,"creativity, innovation & exploration",Support idea expansion.,Building on someone else’s idea respectfully,Expansion encourages collaboration and innovation.,Model adding ideas using “What if we also…”.,"['Model respectful language', 'Encourage additions']","['Override ideas', 'Shut down contributions']",Ideas grow together.
9-10,"creativity, innovation & exploration",Encourage creative independence.,Starting creative projects without prompting,Initiative builds confidence and ownership.,Keep materials accessible for self-starting.,"['Provide access', 'Notice initiative']","['Direct every activity', 'Interrupt starts']",Initiative fuels creativity.
9-10,"creativity, innovation & exploration",Build comfort with abstract thinking.,Explaining ideas using metaphors or comparisons,Abstract thinking deepens understanding.,Ask “What does this remind you of?”.,"['Encourage comparisons', 'Accept unusual links']","['Correct imagination', 'Demand logic only']",Comparisons unlock insight.
9-10,"creativity, innovation & exploration",Encourage design thinking.,Improving designs based on feedback,Iteration strengthens innovation skills.,Offer one gentle suggestion and invite changes.,"['Keep feedback limited', 'Encourage iteration']","['Over-critique', 'Redesign for them']",Feedback refines ideas.
9-10,"creativity, innovation & exploration",Support creative journaling.,Recording ideas in a notebook or sketchbook,Capturing ideas prevents loss and builds habits.,Encourage quick notes or drawings anytime.,"['Provide journals', 'Value rough entries']","['Demand neatness', 'Read without permission']",Ideas need a home.
9-10,"creativity, innovation & exploration",Encourage cross-subject creativity.,Using math or science ideas in creative projects,Cross-linking strengthens learning depth.,Ask how school topics could inspire creations.,"['Make connections', 'Celebrate links']","['Separate subjects rigidly', 'Overteach']",Ideas connect everywhere.
9-10,"creativity, innovation & exploration",Support imaginative problem framing.,Redefining a problem before solving it,Reframing leads to better solutions.,Ask “What is the real problem here?”.,"['Encourage reframing', 'Listen patiently']","['Jump to solutions', 'Dismiss rethinking']",Right questions matter.
9-10,"creativity, innovation & exploration",Encourage playful experimentation.,Trying silly or unusual ideas safely,Playfulness unlocks originality.,"Allow time for fun, low-stakes experiments.","['Laugh together', 'Keep it safe']","['Mock ideas', 'Stop play early']",Play fuels innovation.
9-10,"creativity, innovation & exploration",Build narrative creativity.,Creating alternate endings to stories,Alternate thinking expands imagination.,Ask how the story could end differently.,"['Encourage variety', 'Discuss differences']","['Insist on original ending', 'Judge ideas']",Many endings exist.
9-10,"creativity, innovation & exploration",Encourage thoughtful curiosity.,Researching answers to personal questions,Self-driven research builds learning ownership.,Guide them to books or safe sources.,"['Guide gently', 'Praise effort']","['Give instant answers', 'Overcontrol research']",Curiosity leads learning.
9-10,"creativity, innovation & exploration",Support creative confidence.,Trusting one’s own creative judgment,Confidence sustains long-term creativity.,Ask what they like best about their work.,"['Value opinions', 'Encourage self-assessment']","['Override choices', 'Compare with others']",Their voice matters.
9-10,"creativity, innovation & exploration",Encourage visual storytelling.,Telling stories through drawings or diagrams,Visual stories enhance communication skills.,Ask them to explain a drawing as a story.,"['Ask open questions', 'Listen fully']","['Guess meanings', 'Correct interpretations']",Pictures tell stories.
9-10,"creativity, innovation & exploration",Support curiosity about inventions.,Imagining improvements to everyday objects,Innovation begins with noticing limitations.,Ask what could make an object better.,"['Encourage imagination', 'Discuss usefulness']","['Dismiss ideas', 'Demand realism']",Innovation starts small.
9-10,"creativity, innovation & exploration",Encourage exploration of different viewpoints.,Imagining how others might see the same idea,Perspective-taking deepens creativity.,Ask how a friend might view the idea.,"['Encourage empathy', 'Discuss differences']","['Force agreement', 'Ignore viewpoints']",Many views enrich ideas.
9-10,"creativity, innovation & exploration",Support creative patience.,Letting ideas rest before finishing,Pauses often improve quality.,Suggest a short break before finalizing work.,"['Normalize pauses', 'Return later']","['Rush completion', 'Force deadlines']",Rest improves ideas.
9-10,"creativity, innovation & exploration",Encourage curiosity through comparison.,Comparing two ideas to choose improvements,Comparison sharpens evaluation skills.,Ask what works better and why.,"['Encourage reasoning', 'Listen patiently']","['Decide for them', 'Rush choice']",Compare to improve.
9-10,"creativity, innovation & exploration",Build confidence in unfinished ideas.,Leaving projects unfinished without frustration,Not all ideas need completion to be valuable.,Normalize returning to ideas later or not at all.,"['Reduce pressure', 'Value process']","['Force completion', 'Label quitting']",Not all ideas need endings.
9-10,"creativity, innovation & exploration",Encourage curiosity-driven conversations.,Talking through ideas out loud,Verbalizing ideas clarifies thinking.,Invite them to explain ideas while thinking.,"['Listen actively', 'Ask clarifying questions']","['Interrupt', 'Correct mid-thought']",Thinking aloud helps.
9-10,"creativity, innovation & exploration",Support long-term creative interest.,Returning to a favorite creative theme over time,Depth builds mastery and passion.,Notice recurring interests and support them.,"['Provide resources', 'Encourage depth']","['Force variety', 'Dismiss repetition']",Depth builds mastery.
9-10,"creativity, innovation & exploration",Encourage creative planning skills.,Outlining steps before starting a creative project,Planning improves execution without limiting creativity.,Ask the child to list 3 simple steps before beginning.,"['Keep steps flexible', 'Praise planning effort']","['Over-structure', 'Demand perfect plans']",Loose plans guide creativity.
9-10,"creativity, innovation & exploration",Support curiosity about failures.,Analyzing why an idea didn’t work,Understanding failure builds innovation skills.,Ask what part didn’t work and why.,"['Stay neutral', 'Encourage thinking']","['Blame outcomes', 'Rush fixes']",Failure explains success.
9-10,"creativity, innovation & exploration",Encourage creative patience.,Waiting for inspiration instead of forcing ideas,Ideas develop naturally with time.,Suggest stepping away briefly and returning later.,"['Normalize pauses', 'Reduce pressure']","['Demand instant ideas', 'Show frustration']",Ideas arrive in their own time.
9-10,"creativity, innovation & exploration",Support curiosity across formats.,"Exploring ideas through writing, drawing, or building",Multiple formats deepen understanding.,Offer a choice of formats for the same idea.,"['Offer options', 'Value all formats']","['Force one format', 'Rank formats']",Ideas change shape.
9-10,"creativity, innovation & exploration",Encourage mindful observation.,Pausing to observe before creating,Observation improves originality.,Ask for one minute of silent noticing first.,"['Slow the pace', 'Model observing']","['Rush starts', 'Interrupt silence']",Observe before creating.
9-10,"creativity, innovation & exploration",Build curiosity through constraints.,Creating with limited materials,Limits encourage inventive thinking.,Offer only a few materials and invite creativity.,"['Encourage improvisation', 'Praise ingenuity']","['Add materials immediately', 'Solve problems']",Limits spark invention.
9-10,"creativity, innovation & exploration",Support creative confidence.,Choosing when a project feels finished,Ownership builds confidence and judgment.,Ask them how they know it’s complete.,"['Respect decisions', 'Encourage reflection']","['Force extensions', 'Declare it done']",They decide when it’s ready.
9-10,"creativity, innovation & exploration",Encourage curiosity through variation.,Trying the same idea in a different way,Variation deepens understanding.,Ask how it could be done differently.,"['Encourage experimentation', 'Compare outcomes']","['Stick to first version', 'Dismiss alternatives']",Try another version.
9-10,"creativity, innovation & exploration",Support creative storytelling depth.,Developing characters with motivations,Character depth strengthens narratives.,Ask what the character wants and why.,"['Ask open questions', 'Encourage detail']","['Correct imagination', 'Over-direct plots']",Motives drive stories.
9-10,"creativity, innovation & exploration",Encourage curiosity-driven tinkering.,Adjusting designs after testing,Iteration builds engineering thinking.,Invite small changes after each test.,"['Encourage tweaks', 'Discuss results']","['Aim for perfection', 'Redo for them']","Test, tweak, repeat."
9-10,"creativity, innovation & exploration",Support idea ownership.,Explaining why an idea matters to them,Personal meaning sustains creativity.,Ask why they chose this idea.,"['Listen deeply', 'Validate meaning']","['Dismiss interests', 'Redirect prematurely']",Meaning fuels effort.
9-10,"creativity, innovation & exploration",Encourage creative bravery.,Sharing unfinished ideas aloud,Early sharing builds confidence and feedback skills.,Invite sharing with reassurance it’s incomplete.,"['Praise courage', 'Stay non-judgmental']","['Critique early', 'Compare ideas']",Unfinished ideas still count.
9-10,"creativity, innovation & exploration",Build curiosity through questions.,Asking follow-up questions about ideas,Questions deepen creative thinking.,Model asking ‘What if?’ questions.,"['Model curiosity', 'Encourage exploration']","['Answer everything', 'Close discussion']",Questions open doors.
9-10,"creativity, innovation & exploration",Support calm creative pacing.,Working slowly without rushing results,Slow work improves quality and enjoyment.,Set generous time blocks without pressure.,"['Allow time', 'Reduce interruptions']","['Rush completion', 'Set tight deadlines']",Slow creates depth.
9-10,"creativity, innovation & exploration",Encourage playful creativity.,Turning mistakes into new ideas,Playfulness builds resilience and originality.,Ask how a mistake could become something new.,"['Laugh together', 'Encourage reimagining']","['Erase mistakes', 'Show frustration']",Mistakes can transform.
9-10,"creativity, innovation & exploration",Support exploration of interests.,Spending time on a self-chosen creative topic,Autonomy increases motivation.,Let the child choose the theme or subject.,"['Support choices', 'Provide resources']","['Redirect interests', 'Control topics']",Choice drives passion.
9-10,"creativity, innovation & exploration",Encourage creative comparisons.,Comparing early and final versions of work,Comparison highlights growth.,Review first and last versions together.,"['Celebrate progress', 'Discuss changes']","['Criticize early work', 'Skip reflection']",Growth is visible.
9-10,"creativity, innovation & exploration",Build confidence expressing preferences.,Choosing favorite creative tools or styles,Preferences support identity development.,Ask which tools they enjoy most and why.,"['Respect preferences', 'Encourage expression']","['Impose choices', 'Dismiss tastes']",Preferences shape creativity.
9-10,"creativity, innovation & exploration",Encourage curiosity through reflection.,Noticing how ideas change over time,Awareness builds creative maturity.,Ask how today’s idea differs from last week’s.,"['Encourage reflection', 'Listen attentively']","['Rush answers', 'Ignore evolution']",Ideas evolve.
9-10,"creativity, innovation & exploration",Support long-term creative confidence.,Believing creativity improves with practice,Growth mindset sustains creative effort.,"Point out progress over time, not talent.","['Highlight improvement', 'Encourage persistence']","['Label talent fixed', 'Compare with others']",Creativity grows.
9-10,"creativity, innovation & exploration",Encourage idea sorting skills.,Grouping ideas before choosing one to pursue,Organizing ideas prevents overwhelm.,Write ideas down and group similar ones together.,"['Visualize ideas', 'Let child choose group']","['Choose for them', 'Discard ideas early']",Sorting brings clarity.
9-10,"creativity, innovation & exploration",Support creative self-reflection.,Identifying what part of a project felt most fun,Enjoyment guides future interests.,Ask which moment they enjoyed most.,"['Listen openly', 'Encourage honesty']","['Redirect answers', 'Judge preferences']",Fun reveals passion.
9-10,"creativity, innovation & exploration",Encourage originality under guidance.,"Using prompts as starting points, not limits","Prompts should spark ideas, not restrict them.",Invite changing or expanding the prompt freely.,"['Encourage deviation', 'Praise originality']","['Enforce strict rules', 'Limit imagination']","Prompts ignite, not confine."
9-10,"creativity, innovation & exploration",Build creative comparison skills.,Comparing two creative approaches respectfully,Comparison sharpens evaluation without judgment.,Discuss strengths of each approach.,"['Highlight positives', 'Stay neutral']","['Declare winners', 'Dismiss one idea']",Many paths work.
9-10,"creativity, innovation & exploration",Support curiosity about real-world design.,Noticing design choices in everyday objects,Observation connects creativity to real life.,Ask why an object was designed that way.,"['Encourage noticing', 'Discuss purpose']","['Rush past objects', 'Overexplain']",Design is everywhere.
9-10,"creativity, innovation & exploration",Encourage gentle goal-setting.,Setting a small creative goal for a session,Small goals focus effort without pressure.,Ask what they want to finish today.,"['Keep goals light', 'Celebrate completion']","['Set large goals', 'Push outcomes']",Small goals move ideas forward.
9-10,"creativity, innovation & exploration",Support exploration of style changes.,Trying a new style just for practice,Style exploration expands skills.,Invite experimenting without keeping results.,"['Reduce pressure', 'Encourage play']","['Evaluate results', 'Compare styles']",Practice styles freely.
9-10,"creativity, innovation & exploration",Build confidence in pausing projects.,Stopping work without feeling guilty,Healthy pauses prevent burnout.,Explain that stopping is part of process.,"['Normalize breaks', 'Encourage return later']","['Push continuation', 'Label quitting']",Pauses protect creativity.
9-10,"creativity, innovation & exploration",Encourage playful remixing.,Changing rules of a game or activity,Rule changes promote innovation.,Invite one rule change and test it.,"['Encourage experimentation', 'Discuss results']","['Enforce fixed rules', 'Reject changes']",Rules can evolve.
9-10,"creativity, innovation & exploration",Support curiosity through explanation.,Teaching someone else a creative idea,Teaching clarifies understanding.,Ask them to explain their idea to you.,"['Listen fully', 'Ask clarifying questions']","['Correct mid-explanation', 'Take over']",Teaching deepens learning.
9-10,"creativity, innovation & exploration",Encourage experimentation without outcome focus.,Creating something just to see what happens,Outcome-free play boosts originality.,Remove expectations about final result.,"['Emphasize process', 'Celebrate curiosity']","['Ask about results', 'Judge outcomes']",Explore without pressure.
9-10,"creativity, innovation & exploration",Support creative confidence through language.,Describing work without apologizing,Confidence supports self-expression.,Model describing work neutrally and proudly.,"['Model confidence', 'Encourage neutral language']","['Allow self-put-downs', 'Overpraise']",Speak proudly.
9-10,"creativity, innovation & exploration",Encourage imaginative extension.,Continuing someone else’s unfinished idea,Extension builds collaborative creativity.,Invite adding one new element.,"['Respect original idea', 'Encourage addition']","['Replace idea', 'Criticize original']",Ideas can continue.
9-10,"creativity, innovation & exploration",Support curiosity through observation changes.,Observing the same thing at different times,Repeated observation reveals new insights.,Revisit an object or place later.,"['Encourage comparison', 'Discuss differences']","['Rush observation', 'Dismiss repetition']",Seeing again reveals more.
9-10,"creativity, innovation & exploration",Build tolerance for uncertainty.,Working without knowing the final outcome,Uncertainty is central to creativity.,Normalize not knowing how it will end.,"['Reassure uncertainty', 'Encourage exploration']","['Demand outcomes', 'Rush closure']",Uncertainty is creative.
9-10,"creativity, innovation & exploration",Encourage curiosity through questioning materials.,Asking what else materials could be used for,Flexible thinking fuels innovation.,Ask for alternate uses of an item.,"['Encourage wild ideas', 'Avoid correction']","['Limit answers', 'Judge practicality']",Materials have many lives.
9-10,"creativity, innovation & exploration",Support creative patience.,Letting ideas stay incomplete for days,Time improves perspective and quality.,Store unfinished work safely for later.,"['Protect work', 'Encourage return']","['Discard early', 'Demand closure']",Time matures ideas.
9-10,"creativity, innovation & exploration",Encourage reflective comparison.,Comparing today’s ideas with older ones,Reflection builds awareness of growth.,Look back at past work together.,"['Celebrate progress', 'Discuss changes']","['Criticize early work', 'Rush review']",Growth becomes visible.
9-10,"creativity, innovation & exploration",Build creative resilience.,Returning to creativity after a break,Resilience sustains long-term interest.,Invite gentle return without pressure.,"['Welcome returns', 'Encourage gently']","['Guilt breaks', 'Demand consistency']",You can always return.
9-10,"creativity, innovation & exploration",Encourage curiosity through explanation shifts.,Explaining the same idea in different ways,Multiple explanations deepen understanding.,Ask them to explain it another way.,"['Encourage variation', 'Listen patiently']","['Correct wording', 'Rush explanations']",Different explanations reveal depth.
9-10,"study skills, school engagement & academic discipline",Build consistent daily study routines.,Starting homework at a fixed daily time,Consistency reduces procrastination and stress.,Agree on a regular study start time and stick to it.,"['Keep timing consistent', 'Prepare materials in advance']","['Delay repeatedly', 'Negotiate daily']",Routine removes resistance.
9-10,"study skills, school engagement & academic discipline",Encourage independent task initiation.,Beginning assignments without reminders,Independence builds responsibility and confidence.,Ask them to review tasks and choose what to start first.,"['Encourage ownership', 'Praise initiative']","['Nag repeatedly', 'Start work for them']",Starting is the hardest part.
9-10,"study skills, school engagement & academic discipline",Support focused study sessions.,Studying without distractions for set periods,Focus improves learning efficiency.,"Use short, timed study blocks with breaks.","['Remove distractions', 'Respect break times']","['Allow multitasking', 'Extend sessions endlessly']",Focus beats long hours.
9-10,"study skills, school engagement & academic discipline",Build planning and organization skills.,Listing homework and deadlines daily,Tracking tasks prevents last-minute stress.,Review the school diary or planner together briefly.,"['Check once daily', 'Keep it simple']","['Micromanage', 'Ignore missed entries']",Written plans reduce mental load.
9-10,"study skills, school engagement & academic discipline",Encourage active learning habits.,Summarizing lessons in their own words,Summarizing strengthens understanding and memory.,Ask for one or two sentences about what was learned.,"['Keep summaries short', 'Listen patiently']","['Turn it into testing', 'Correct every word']",Simple summaries stick.
9-10,"study skills, school engagement & academic discipline",Support responsibility for materials.,Packing and checking the school bag independently,Preparation builds accountability.,Create a checklist and fade help gradually.,"['Use checklists', 'Reduce help over time']","['Pack for them', 'Scold forgotten items']",Preparation prevents problems.
9-10,"study skills, school engagement & academic discipline",Build exam readiness habits.,Reviewing notes briefly before tests,Regular review reduces exam anxiety.,Schedule short review sessions days before exams.,"['Start early', 'Keep reviews short']","['Cram at last minute', 'Overload content']",Little and often works.
9-10,"study skills, school engagement & academic discipline",Encourage asking for academic help.,Seeking clarification when confused,Questions prevent learning gaps.,Normalize asking questions at home and school.,"['Praise asking', 'Respond calmly']","['Dismiss doubts', 'Show impatience']",Questions are smart.
9-10,"study skills, school engagement & academic discipline",Support long-term assignment management.,Breaking projects into smaller steps,Chunking prevents overwhelm.,"Divide projects into simple, dated steps.","['Plan together once', 'Track progress lightly']","['Leave planning till end', 'Do steps for them']",Small steps finish big work.
9-10,"study skills, school engagement & academic discipline",Encourage positive attitude toward school.,Talking openly about school experiences,Open communication builds engagement.,Ask one open question about the school day.,"['Listen without judgment', 'Validate feelings']","['Interrogate', 'Dismiss concerns']",Feeling heard builds motivation.
9-10,"study skills, school engagement & academic discipline",Build consistency in completing homework.,Finishing homework before leisure activities,Prioritization strengthens discipline and reduces stress.,Agree on a clear homework-first rule.,"['Stay consistent', 'Acknowledge effort']","['Make daily exceptions', 'Use threats']","Work first, relax later."
9-10,"study skills, school engagement & academic discipline",Encourage attention to instructions.,Reading assignment instructions carefully,Clear understanding prevents careless mistakes.,Ask the child to explain instructions in their own words.,"['Pause before starting', 'Clarify once']","['Rush tasks', 'Assume understanding']","Understand first, then work."
9-10,"study skills, school engagement & academic discipline",Support neat and organized work habits.,Keeping notebooks tidy and readable,Organization improves revision and confidence.,Set simple standards for headings and spacing.,"['Model neatness', 'Praise improvement']","['Demand perfection', 'Rewrite work']",Clear notes help clear thinking.
9-10,"study skills, school engagement & academic discipline",Build time-awareness during study.,Estimating how long a task will take,Time estimation improves planning skills.,"Ask for a guess, then compare with actual time.","['Reflect calmly', 'Adjust expectations']","['Scold wrong estimates', 'Ignore timing']",Practice builds accuracy.
9-10,"study skills, school engagement & academic discipline",Encourage self-checking habits.,Reviewing work before submitting,Self-checking reduces avoidable errors.,Create a short review checklist.,"['Keep checklist brief', 'Encourage independence']","['Check for them', 'Overcorrect']","Check once, submit calmly."
9-10,"study skills, school engagement & academic discipline",Support regular reading habits.,Reading daily outside of schoolwork,Regular reading strengthens comprehension and vocabulary.,Set a fixed daily reading window.,"['Offer choice of books', 'Read quietly nearby']","['Force genres', 'Turn reading into testing']",Daily reading compounds.
9-10,"study skills, school engagement & academic discipline",Encourage responsibility for missed work.,Catching up after absence independently,Ownership prevents learning gaps.,Ask them to list what needs to be caught up.,"['Guide once', 'Praise follow-through']","['Blame absences', 'Do the work for them']",Catch up early.
9-10,"study skills, school engagement & academic discipline",Build study stamina gradually.,Increasing focused study time step by step,Gradual growth prevents burnout.,Extend focus time by small increments weekly.,"['Track progress', 'Celebrate gains']","['Jump too fast', 'Ignore fatigue']",Stamina grows slowly.
9-10,"study skills, school engagement & academic discipline",Encourage meaningful revision.,Rewriting key points in simpler words,Simplification deepens understanding.,Ask for one simplified explanation per topic.,"['Accept simple language', 'Listen carefully']","['Demand textbook wording', 'Overcorrect']",Simple means understood.
9-10,"study skills, school engagement & academic discipline",Support healthy study breaks.,Taking planned breaks during study sessions,Breaks restore focus and reduce frustration.,Agree on break timing before starting.,"['Keep breaks short', 'Resume on time']","['Skip breaks', 'Let breaks stretch']",Breaks protect focus.
9-10,"study skills, school engagement & academic discipline",Encourage engagement with teachers.,Communicating concerns to teachers politely,Healthy communication builds academic support.,Practice explaining concerns respectfully.,"['Model respectful tone', 'Encourage honesty']","['Speak for them always', 'Blame teachers']",Respect opens doors.
9-10,"study skills, school engagement & academic discipline",Build consistency in revision routines.,Reviewing one subject daily,Daily review strengthens long-term memory.,Rotate subjects across the week.,"['Keep sessions short', 'Stay consistent']","['Overload days', 'Skip frequently']",Daily beats occasional.
9-10,"study skills, school engagement & academic discipline",Encourage accountability for results.,Reflecting on test performance calmly,Reflection supports improvement mindset.,Ask what went well and what to adjust.,"['Stay neutral', 'Focus on learning']","['React emotionally', 'Compare scores']","Reflect, then improve."
9-10,"study skills, school engagement & academic discipline",Support independent use of resources.,Using textbooks or notes before asking for help,Resourcefulness builds confidence.,"Encourage checking notes first, then asking.","['Praise effort', 'Guide gently']","['Answer instantly', 'Discourage questions']","Try once, then ask."
