age_range,stage,domain,activity,goal,difficulty_level
4-5,Kindergarten / Pre-Primary,reading,Identify rhyming words in simple poems,Enhance phonemic awareness,medium
4-5,Kindergarten / Pre-Primary,reading,"Blend two-letter sounds to make words (at, it, on)",Develop phonemic blending,medium
4-5,Kindergarten / Pre-Primary,reading,Identify words starting with the same sound,Strengthen phonemic awareness,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple words on flashcards,Reinforce word recognition,medium
4-5,Kindergarten / Pre-Primary,reading,Match short words with pictures,Connect words with meaning,medium
4-5,Kindergarten / Pre-Primary,reading,Retell a story using pictures,Develop comprehension and sequencing,medium
4-5,Kindergarten / Pre-Primary,reading,Listen to a story and answer questions about it,Improve comprehension skills,medium
4-5,Kindergarten / Pre-Primary,reading,Identify opposites in simple words (big/small),Build vocabulary and concept understanding,medium
4-5,Kindergarten / Pre-Primary,reading,"Recognize punctuation marks (period, question mark)",Understand basic sentence structure,medium
4-5,Kindergarten / Pre-Primary,reading,Identify uppercase and lowercase letters,Understand letter forms,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple sentences with support,Develop sentence reading skills,medium
4-5,Kindergarten / Pre-Primary,reading,Recognize letters in short poems or rhymes,Combine phonics and rhythm awareness,medium
4-5,Kindergarten / Pre-Primary,reading,"Identify words in environmental print (signs, labels)",Connect real-life print to reading,easy
4-5,Kindergarten / Pre-Primary,reading,Recognize letters in classroom labels and books,Reinforce letter recognition,easy
4-5,Kindergarten / Pre-Primary,reading,Point out words in a simple sentence while reading,Track print correctly,easy
4-5,Kindergarten / Pre-Primary,reading,Recognize sight words in short stories,Improve reading fluency,medium
4-5,Kindergarten / Pre-Primary,reading,Identify letters in simple storybooks,Reinforce early reading skills,easy
4-5,Kindergarten / Pre-Primary,reading,Match letters to sounds in familiar words,Develop phonics understanding,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple sentences aloud with support,Practice early reading confidence,medium
4-5,Kindergarten / Pre-Primary,reading,Identify first and last letters in familiar words,Develop letter position awareness,medium
4-5,Kindergarten / Pre-Primary,reading,Recognize letters and sounds in short labels,Connect print to objects,easy
4-5,Kindergarten / Pre-Primary,reading,Identify letters while listening to rhymes,Combine listening and letter recognition skills,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple sentences independently,Develop early reading confidence,medium
4-5,Kindergarten / Pre-Primary,reading,Identify letters at the beginning of words,Enhance phonics awareness,easy
4-5,Kindergarten / Pre-Primary,reading,Recognize letters and words in storybooks,Reinforce reading fluency,medium
4-5,Kindergarten / Pre-Primary,reading,Point to words in a simple rhyme,Develop print tracking skills,easy
4-5,Kindergarten / Pre-Primary,reading,Recognize familiar words in short stories,Build sight word knowledge,medium
4-5,Kindergarten / Pre-Primary,reading,Blend sounds to read new words,Practice decoding skills,medium
4-5,Kindergarten / Pre-Primary,reading,Identify words that rhyme,Strengthen phonemic awareness,medium
4-5,Kindergarten / Pre-Primary,reading,Match words with pictures in short stories,Connect text with meaning,medium
4-5,Kindergarten / Pre-Primary,reading,Recognize simple labels in the environment,Connect print to real-life objects,easy
4-5,Kindergarten / Pre-Primary,reading,Identify first letters of familiar words,Practice initial sound recognition,easy
4-5,Kindergarten / Pre-Primary,reading,Read simple sight words on cards,Improve word recognition,medium
4-5,Kindergarten / Pre-Primary,reading,Trace letters and read them aloud,Reinforce letter formation and recognition,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple environmental signs,Develop print awareness in context,easy
4-5,Kindergarten / Pre-Primary,reading,Identify letters in short poems,Combine phonics and rhythm learning,medium
4-5,Kindergarten / Pre-Primary,reading,Match letters with corresponding sounds,Develop phonemic awareness,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple two-word sentences,Practice early sentence reading,medium
4-5,Kindergarten / Pre-Primary,reading,Identify repeated words in stories,Develop word recognition and memory,medium
4-5,Kindergarten / Pre-Primary,reading,Recognize letters in classroom labels,Reinforce reading in context,easy
4-5,Kindergarten / Pre-Primary,reading,Point to words while teacher reads,Track print correctly,easy
4-5,Kindergarten / Pre-Primary,reading,Identify letters in short rhymes and songs,Combine listening and reading skills,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple sight words in context,Strengthen reading fluency,medium
4-5,Kindergarten / Pre-Primary,reading,Recognize letters in familiar storybooks,Reinforce letter recognition and comprehension,medium
4-5,Kindergarten / Pre-Primary,reading,Blend sounds to read simple words in books,Apply phonics skills to reading,medium
4-5,Kindergarten / Pre-Primary,reading,Identify first and last letters in words,Develop letter position awareness,medium
4-5,Kindergarten / Pre-Primary,reading,Read simple words aloud with support,Practice early reading and pronunciation,medium
4-5,Kindergarten / Pre-Primary,reading,Match letters in words to letters on flashcards,Develop letter recognition and matching,medium
4-5,Kindergarten / Pre-Primary,writing,Trace letters of the alphabet,Practice proper letter formation,easy
4-5,Kindergarten / Pre-Primary,writing,Write first name independently,Develop self-identity and writing confidence,easy
4-5,Kindergarten / Pre-Primary,writing,"Write simple CVC words (cat, dog)",Practice early spelling and phonics,medium
4-5,Kindergarten / Pre-Primary,writing,Trace numbers 1-20,Learn number formation and recognition,easy
4-5,Kindergarten / Pre-Primary,writing,Write numbers 1-10 independently,Reinforce number writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Draw simple shapes and label them,Combine drawing and writing skills,easy
4-5,Kindergarten / Pre-Primary,writing,Copy simple words from a board,Improve handwriting and spelling,medium
4-5,Kindergarten / Pre-Primary,writing,Write short words with correct letter spacing,Develop neat handwriting habits,medium
4-5,Kindergarten / Pre-Primary,writing,Draw and label pictures of familiar objects,Encourage writing with drawing,easy
4-5,Kindergarten / Pre-Primary,writing,Write simple sentences with help,Practice early sentence formation,medium
4-5,Kindergarten / Pre-Primary,writing,Practice correct pencil grip while writing,Develop fine motor control for writing,easy
4-5,Kindergarten / Pre-Primary,writing,Write the days of the week,Combine writing with calendar knowledge,medium
4-5,Kindergarten / Pre-Primary,writing,Write numbers in sequence 1-20,Practice numeric order,medium
4-5,Kindergarten / Pre-Primary,writing,"Draw and write simple patterns (AB, ABC)",Combine visual patterns with writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple labels for classroom items,Practice functional writing,easy
4-5,Kindergarten / Pre-Primary,writing,Copy short sentences from a book,Develop handwriting fluency,medium
4-5,Kindergarten / Pre-Primary,writing,Write the alphabet in uppercase and lowercase,Reinforce letter recognition and writing,easy
4-5,Kindergarten / Pre-Primary,writing,Draw a picture and write a word to describe it,Encourage creative writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple sight words,Strengthen early reading and writing connection,medium
4-5,Kindergarten / Pre-Primary,writing,Write short sentences using sight words,Practice sentence formation,medium
4-5,Kindergarten / Pre-Primary,writing,Write numbers and corresponding objects,Combine math and writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Draw and write about a favorite animal,Encourage descriptive writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple words with correct spacing,Develop neat handwriting skills,medium
4-5,Kindergarten / Pre-Primary,writing,Trace short words in sand or on paper,Reinforce tactile and visual learning,easy
4-5,Kindergarten / Pre-Primary,writing,Write the months of the year,Combine writing and calendar knowledge,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple sentences about their day,Develop narrative writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Copy short words from flashcards,Practice spelling and handwriting,medium
4-5,Kindergarten / Pre-Primary,writing,Label drawings with single words,Combine drawing and writing,easy
4-5,Kindergarten / Pre-Primary,writing,Write letters of the alphabet in sequence,Reinforce alphabetical order,easy
4-5,Kindergarten / Pre-Primary,writing,Write numbers 1-30 in order,Practice numeric sequencing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple sight words from memory,Strengthen recall and writing,medium
4-5,Kindergarten / Pre-Primary,writing,Draw a picture and write 2-3 words about it,Practice descriptive writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write first and last letters of words,Develop letter position awareness,medium
4-5,Kindergarten / Pre-Primary,writing,Trace and write short sentences,Reinforce sentence structure and handwriting,medium
4-5,Kindergarten / Pre-Primary,writing,Write the names of classmates or family members,Practice proper nouns and letter formation,easy
4-5,Kindergarten / Pre-Primary,writing,Write simple words using a model,Practice copying and spelling,medium
4-5,Kindergarten / Pre-Primary,writing,Write labels for classroom objects,Encourage functional writing,easy
4-5,Kindergarten / Pre-Primary,writing,Draw and write about a favorite food,Develop expressive writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Write numbers and words together in activities,Combine numeracy and writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple instructions for a game,Develop sequential writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Write letters in different colors,Encourage creativity and letter recognition,easy
4-5,Kindergarten / Pre-Primary,writing,Write simple words to match pictures in a book,Combine reading and writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Write short sentences with correct spacing,Develop neat handwriting,medium
4-5,Kindergarten / Pre-Primary,writing,Trace words using sandpaper letters,Enhance tactile learning and letter formation,easy
4-5,Kindergarten / Pre-Primary,writing,Write letters and numbers in a notebook,Practice consistent writing,medium
4-5,Kindergarten / Pre-Primary,writing,Draw a sequence of pictures and write a word for each,Practice storytelling with writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write simple words from dictation,Develop listening and writing skills,medium
4-5,Kindergarten / Pre-Primary,writing,Write numbers next to objects in a drawing,Combine counting and writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write letters in alphabetical order,Reinforce alphabet knowledge,easy
4-5,Kindergarten / Pre-Primary,writing,Write short sentences describing their favorite activity,Practice expressive writing,medium
4-5,Kindergarten / Pre-Primary,writing,Write and decorate simple words creatively,Encourage creativity and writing practice,easy
4-5,Kindergarten / Pre-Primary,math,Count objects from 1 to 10,Develop basic counting skills,easy
4-5,Kindergarten / Pre-Primary,math,"Recognize and name basic shapes (circle, square, triangle)",Identify geometric shapes,easy
4-5,Kindergarten / Pre-Primary,math,"Sort objects by size, color, or shape",Develop categorization and observation skills,easy
4-5,Kindergarten / Pre-Primary,math,Count objects from 1 to 20 using fingers or counters,Practice sequential counting,medium
4-5,Kindergarten / Pre-Primary,math,Recognize numbers 1-20,Identify and name numbers,medium
4-5,Kindergarten / Pre-Primary,math,Match numbers with corresponding quantity of objects,Connect numerals with quantities,medium
4-5,Kindergarten / Pre-Primary,math,"Identify patterns (AB, AAB, ABC)",Recognize and extend simple patterns,medium
4-5,Kindergarten / Pre-Primary,math,"Simple addition with objects (1+1, 2+3)",Develop early addition skills,medium
4-5,Kindergarten / Pre-Primary,math,"Simple subtraction with objects (5-2, 3-1)",Practice basic subtraction,medium
4-5,Kindergarten / Pre-Primary,math,Compare quantities using terms 'more' or 'less',Understand comparative concepts,medium
4-5,Kindergarten / Pre-Primary,math,Identify largest and smallest objects in a set,Develop size comparison skills,easy
4-5,Kindergarten / Pre-Primary,math,Sort objects by more than one attribute (color and size),Enhance observation and reasoning skills,medium
4-5,Kindergarten / Pre-Primary,math,Count by twos up to 20,Introduce skip counting,medium
4-5,Kindergarten / Pre-Primary,math,"Identify numbers missing in a sequence (1,2,__,4)",Develop number sequencing skills,medium
4-5,Kindergarten / Pre-Primary,math,Recognize simple 2D and 3D shapes in environment,Connect math with real world,easy
4-5,Kindergarten / Pre-Primary,math,Create simple patterns using colored blocks,Reinforce pattern recognition,medium
4-5,Kindergarten / Pre-Primary,math,Count items in a group and write the number,Combine counting and writing skills,medium
4-5,Kindergarten / Pre-Primary,math,Identify simple shapes in pictures,Practice shape recognition,easy
4-5,Kindergarten / Pre-Primary,math,"Match numerals to number words (1-one, 2-two)",Reinforce number-word correspondence,medium
4-5,Kindergarten / Pre-Primary,math,Add one more to a given quantity,Introduce increment concept,medium
4-5,Kindergarten / Pre-Primary,math,Subtract one from a given quantity,Introduce decrement concept,medium
4-5,Kindergarten / Pre-Primary,math,Sort and count toys by color and size,Reinforce categorization and counting,medium
4-5,Kindergarten / Pre-Primary,math,"Recognize number patterns (2,4,6,8)",Develop pattern recognition and counting skills,medium
4-5,Kindergarten / Pre-Primary,math,Compare sets of objects to identify which has more or less,Strengthen comparative reasoning,medium
4-5,Kindergarten / Pre-Primary,math,Count objects up to 30,Develop higher number counting skills,medium
4-5,Kindergarten / Pre-Primary,math,"Group objects into sets of 2, 3, and 4",Practice grouping and counting,medium
4-5,Kindergarten / Pre-Primary,math,Identify shapes in a collage or drawing,Reinforce shape recognition in context,easy
4-5,Kindergarten / Pre-Primary,math,Complete simple number sequences,Develop number sequencing skills,medium
4-5,Kindergarten / Pre-Primary,math,Identify missing shapes in a pattern,Enhance visual and logical reasoning,medium
4-5,Kindergarten / Pre-Primary,math,"Use objects to solve addition problems (1+2, 2+3)",Hands-on addition practice,medium
4-5,Kindergarten / Pre-Primary,math,"Use objects to solve subtraction problems (5-2, 4-1)",Hands-on subtraction practice,medium
4-5,Kindergarten / Pre-Primary,math,Count objects and write corresponding numerals,Connect counting with numeral writing,medium
4-5,Kindergarten / Pre-Primary,math,Arrange objects from smallest to largest,Practice size comparison,easy
4-5,Kindergarten / Pre-Primary,math,Identify basic shapes in the classroom,Reinforce shape recognition in environment,easy
4-5,Kindergarten / Pre-Primary,math,Sort coins or buttons by size and color,Practice categorization and fine motor skills,medium
4-5,Kindergarten / Pre-Primary,math,Identify patterns in bead necklaces or bracelets,Develop pattern recognition,medium
4-5,Kindergarten / Pre-Primary,math,Draw shapes and count their sides,Combine geometry and counting skills,medium
4-5,Kindergarten / Pre-Primary,math,Use number cards to form simple addition equations,Introduce abstract addition,medium
4-5,Kindergarten / Pre-Primary,math,Match numbers with dot patterns,Connect numerals to quantities visually,medium
4-5,Kindergarten / Pre-Primary,math,Arrange number cards in ascending and descending order,Practice ordering numbers,medium
4-5,Kindergarten / Pre-Primary,math,Identify and continue color patterns (red-blue-red-blue),Recognize and extend patterns,medium
4-5,Kindergarten / Pre-Primary,math,"Count items in everyday surroundings (chairs, books)",Apply counting to real-life objects,easy
4-5,Kindergarten / Pre-Primary,math,Draw groups of objects and write numbers,"Combine drawing, counting, and writing",medium
4-5,Kindergarten / Pre-Primary,math,Use dominoes to practice number recognition,Connect play with math learning,medium
4-5,Kindergarten / Pre-Primary,math,Solve simple word problems using objects,Introduce problem-solving skills,medium
4-5,Kindergarten / Pre-Primary,math,"Identify geometric shapes in nature (leaves, stones)",Connect geometry with the environment,easy
4-5,Kindergarten / Pre-Primary,math,Create patterns using blocks and count repetitions,Reinforce pattern and counting skills,medium
4-5,Kindergarten / Pre-Primary,math,Identify shapes in puzzles,Practice shape recognition and problem-solving,easy
4-5,Kindergarten / Pre-Primary,math,Compare sets of objects and write which has more or less,Develop comparative reasoning,medium
4-5,Kindergarten / Pre-Primary,math,Count objects up to 50 in groups,Increase counting range,medium
4-5,Kindergarten / Pre-Primary,science,"Observe the weather daily (sunny, rainy, cloudy)",Recognize and describe weather conditions,easy
4-5,Kindergarten / Pre-Primary,science,Plant a seed and observe growth,Understand basic plant life cycles,medium
4-5,Kindergarten / Pre-Primary,science,"Sort objects by properties (hard/soft, heavy/light)",Introduce material properties and observation,medium
4-5,Kindergarten / Pre-Primary,science,Observe day and night sky changes,Understand basic time concepts and environment,easy
4-5,Kindergarten / Pre-Primary,science,Experiment with floating and sinking objects,Learn cause and effect with water,medium
4-5,Kindergarten / Pre-Primary,science,Observe shadows at different times of the day,Explore light and shadow,medium
4-5,Kindergarten / Pre-Primary,science,Identify common plants and animals in surroundings,Develop awareness of environment,easy
4-5,Kindergarten / Pre-Primary,science,Observe simple weather changes using thermometers,Introduce temperature concepts,medium
4-5,Kindergarten / Pre-Primary,science,Explore magnetism using magnets and objects,Understand magnetic attraction,medium
4-5,Kindergarten / Pre-Primary,science,Observe melting ice and discuss changes,Learn about states of matter,easy
4-5,Kindergarten / Pre-Primary,science,Collect and observe leaves of different shapes,Recognize plant diversity,easy
4-5,Kindergarten / Pre-Primary,science,"Mix water with sand, soil, or pebbles",Observe material combinations,medium
4-5,Kindergarten / Pre-Primary,science,Observe insects and small animals in the garden,Introduce basic zoology,easy
4-5,Kindergarten / Pre-Primary,science,Explore simple changes when mixing colors,Understand color transformation,easy
4-5,Kindergarten / Pre-Primary,science,Observe which objects float or sink in water,Introduce physics concept of buoyancy,medium
4-5,Kindergarten / Pre-Primary,science,Record daily temperature and compare,Practice observation and recording,medium
4-5,Kindergarten / Pre-Primary,science,Observe cloud shapes and types,Introduce basic meteorology,easy
4-5,Kindergarten / Pre-Primary,science,Plant fast-growing seeds and measure growth daily,Understand plant growth over time,medium
4-5,Kindergarten / Pre-Primary,science,Compare texture of different soils,Introduce tactile exploration of materials,medium
4-5,Kindergarten / Pre-Primary,science,Explore shadows using a flashlight,Understand light direction and shadow formation,medium
4-5,Kindergarten / Pre-Primary,science,Observe insects building homes or collecting food,Learn about animal behavior,medium
4-5,Kindergarten / Pre-Primary,science,Investigate melting butter or chocolate,Understand heat effects on solids,medium
4-5,Kindergarten / Pre-Primary,science,Observe plants after watering and discuss changes,Understand plant needs for water,easy
4-5,Kindergarten / Pre-Primary,science,Compare shadows in sunny and cloudy weather,Learn influence of sunlight on shadows,easy
4-5,Kindergarten / Pre-Primary,science,Mix vinegar and baking soda to observe reaction,Introduce basic chemical reactions,medium
4-5,Kindergarten / Pre-Primary,science,Observe water evaporating from a shallow dish,Understand basic water cycle concepts,medium
4-5,Kindergarten / Pre-Primary,science,Compare growth of plants in sunlight vs. shade,Learn effects of sunlight on plants,medium
4-5,Kindergarten / Pre-Primary,science,Observe shadows of objects at different times,Understand movement of sun and shadows,easy
4-5,Kindergarten / Pre-Primary,science,Mix sand and water to see texture changes,Explore physical changes in materials,easy
4-5,Kindergarten / Pre-Primary,science,Observe ice melting in different temperatures,Learn about heat effects,medium
4-5,Kindergarten / Pre-Primary,science,"Explore sounds from different materials (wood, metal, plastic)",Introduce sound and material differences,easy
4-5,Kindergarten / Pre-Primary,science,Observe insect movement patterns,Develop observation of living creatures,easy
4-5,Kindergarten / Pre-Primary,science,Compare weight of different small objects using balance,Introduce measurement concepts,medium
4-5,Kindergarten / Pre-Primary,science,Observe plants with and without water over a few days,Understand importance of water for plants,medium
4-5,Kindergarten / Pre-Primary,science,"Identify natural objects like rocks, leaves, flowers",Recognize natural environment,easy
4-5,Kindergarten / Pre-Primary,science,Observe insects interacting with plants,Understand relationships in nature,medium
4-5,Kindergarten / Pre-Primary,science,Use a magnifying glass to examine leaves and insects,Encourage careful observation,medium
4-5,Kindergarten / Pre-Primary,science,Observe shadows using different objects,Learn how object shape affects shadow,easy
4-5,Kindergarten / Pre-Primary,science,Test which objects float or sink in water,Reinforce buoyancy concepts,medium
4-5,Kindergarten / Pre-Primary,science,Observe changes in leaves over seasons,Understand seasonal changes in nature,medium
4-5,Kindergarten / Pre-Primary,science,Investigate how sound changes with different object sizes,Explore sound properties,medium
4-5,Kindergarten / Pre-Primary,science,Observe the effect of sunlight on shadows using a toy,Understand light and shadow,easy
4-5,Kindergarten / Pre-Primary,science,"Explore texture differences between materials (cloth, sand, paper)",Enhance tactile exploration,easy
4-5,Kindergarten / Pre-Primary,science,Observe water flowing in different containers,Learn about water movement,medium
4-5,Kindergarten / Pre-Primary,science,Observe condensation on a cold glass,Understand water changes state,medium
4-5,Kindergarten / Pre-Primary,science,Observe small insects interacting with each other,Learn about animal behavior,medium
4-5,Kindergarten / Pre-Primary,science,Plant seeds in different soils and observe growth,Compare effects of soil types on plant growth,medium
4-5,Kindergarten / Pre-Primary,science,Observe weather patterns for a week,Recognize recurring weather changes,medium
4-5,Kindergarten / Pre-Primary,science,Test how objects roll on different surfaces,Explore motion and friction,medium
4-5,Kindergarten / Pre-Primary,science,Observe how ice melts in sun vs. shade,Learn about heat and melting,medium
4-5,Kindergarten / Pre-Primary,science,Observe how plants respond when watered daily vs. not watered,Understand plant needs and growth,medium
4-5,Kindergarten / Pre-Primary,social studies,Identify family members and their roles,Understand basic family structure,easy
4-5,Kindergarten / Pre-Primary,social studies,"Learn about community helpers (police, doctor, firefighter)",Recognize people who help in community,easy
4-5,Kindergarten / Pre-Primary,social studies,Practice sharing toys with classmates,Develop cooperation and social skills,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss basic rules in classroom,Understand importance of rules,easy
4-5,Kindergarten / Pre-Primary,social studies,Draw a map of classroom with key areas,Introduce spatial awareness and mapping,medium
4-5,Kindergarten / Pre-Primary,social studies,Identify different jobs parents do,Understand community roles,easy
4-5,Kindergarten / Pre-Primary,social studies,Participate in a role-play of store or restaurant,Learn about real-life social interactions,medium
4-5,Kindergarten / Pre-Primary,social studies,Recognize cultural celebrations and festivals,Build awareness of diversity,easy
4-5,Kindergarten / Pre-Primary,social studies,"Sort people into roles like teachers, doctors, farmers",Understand occupations in society,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn about rules for crossing the road safely,Understand basic safety rules,medium
4-5,Kindergarten / Pre-Primary,social studies,Identify local landmarks in pictures,Build awareness of local environment,easy
4-5,Kindergarten / Pre-Primary,social studies,Draw a simple map of neighborhood,Introduce mapping skills,medium
4-5,Kindergarten / Pre-Primary,social studies,"Discuss basic needs of people (food, water, shelter)",Understand human needs,easy
4-5,Kindergarten / Pre-Primary,social studies,Learn about simple rules at home,Reinforce personal responsibility,easy
4-5,Kindergarten / Pre-Primary,social studies,Recognize different types of transportation,Understand movement and travel,medium
4-5,Kindergarten / Pre-Primary,social studies,Discuss how people in community help each other,Develop empathy and social awareness,easy
4-5,Kindergarten / Pre-Primary,social studies,"Sort objects into categories: food, clothes, tools",Understand societal organization,medium
4-5,Kindergarten / Pre-Primary,social studies,Participate in community clean-up or tidy-up activity,Learn about civic responsibility,medium
4-5,Kindergarten / Pre-Primary,social studies,"Recognize basic community services like post office, hospital",Identify community structures,easy
4-5,Kindergarten / Pre-Primary,social studies,Participate in a simple voting game (choose snack or activity),Introduce decision-making and fairness,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn about holidays and why they are celebrated,Understand cultural traditions,easy
4-5,Kindergarten / Pre-Primary,social studies,Recognize basic rules of sharing and taking turns,Develop cooperative behavior,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss what jobs people do in the community,Expand understanding of occupations,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn how to respect others’ belongings,Develop social responsibility,easy
4-5,Kindergarten / Pre-Primary,social studies,"Identify roles of people in a school (teacher, principal, janitor)",Understand school community roles,easy
4-5,Kindergarten / Pre-Primary,social studies,Draw a family tree with simple relationships,Recognize family connections,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn about simple rules for playground safety,Understand safety in public spaces,easy
4-5,Kindergarten / Pre-Primary,social studies,Participate in a class discussion about helping others,Develop empathy and cooperation,easy
4-5,Kindergarten / Pre-Primary,social studies,"Identify and sort items used at home, school, and outdoors",Recognize functional use of objects in society,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn about basic needs of people and animals,Understand survival and care,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss rules for taking care of classroom materials,Develop responsibility for belongings,easy
4-5,Kindergarten / Pre-Primary,social studies,Participate in role-play of doctor/nurse and patient,Introduce healthcare roles,medium
4-5,Kindergarten / Pre-Primary,social studies,"Identify types of homes people live in (house, apartment, hut)",Understand housing diversity,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss importance of being polite and using kind words,Learn social etiquette,easy
4-5,Kindergarten / Pre-Primary,social studies,"Learn about basic jobs in the community (farmer, baker, driver)",Expand knowledge of occupations,easy
4-5,Kindergarten / Pre-Primary,social studies,Create a simple map of the classroom with key areas,Introduce mapping and spatial skills,medium
4-5,Kindergarten / Pre-Primary,social studies,Discuss ways to keep the community clean,Promote civic responsibility,medium
4-5,Kindergarten / Pre-Primary,social studies,Recognize holidays and basic traditions in their community,Build cultural awareness,easy
4-5,Kindergarten / Pre-Primary,social studies,"Discuss what to do in emergencies (fire, first aid)",Introduce safety awareness,medium
4-5,Kindergarten / Pre-Primary,social studies,Participate in a simple classroom voting activity,Learn about fairness and making choices,medium
4-5,Kindergarten / Pre-Primary,social studies,Identify ways to be a good friend,Develop interpersonal skills,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss daily routines at home and school,Understand time and schedule,easy
4-5,Kindergarten / Pre-Primary,social studies,Identify traffic signs and their meanings,Introduce road safety,medium
4-5,Kindergarten / Pre-Primary,social studies,Draw and label a simple map of the neighborhood,Develop spatial awareness and observation,medium
4-5,Kindergarten / Pre-Primary,social studies,Learn about basic money concepts (coins and notes),Introduce financial awareness,medium
4-5,Kindergarten / Pre-Primary,social studies,Discuss the importance of helping at home,Encourage responsibility and contribution,easy
4-5,Kindergarten / Pre-Primary,social studies,Recognize and name different clothing used in seasons,Understand seasonal dressing and adaptation,easy
4-5,Kindergarten / Pre-Primary,social studies,Discuss how to treat friends and classmates respectfully,Promote positive social behavior,easy
4-5,Kindergarten / Pre-Primary,social studies,"Learn about basic public places (library, park, school)",Build awareness of community spaces,easy
4-5,Kindergarten / Pre-Primary,art and music,Draw a picture of family members,Develop fine motor skills and personal expression,easy
4-5,Kindergarten / Pre-Primary,art and music,Paint using primary colors and mix to make secondary colors,Explore color recognition and mixing,medium
4-5,Kindergarten / Pre-Primary,art and music,Sing simple songs with rhythm,Develop musical awareness and coordination,easy
4-5,Kindergarten / Pre-Primary,art and music,Use scissors to cut simple shapes,Enhance fine motor control,medium
4-5,Kindergarten / Pre-Primary,art and music,"Create a collage using paper, fabric, or natural materials",Develop creativity and composition skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Play simple musical instruments like tambourine or xylophone,Introduce rhythm and coordination,easy
4-5,Kindergarten / Pre-Primary,art and music,Draw and color animals and plants,Practice observation and detail in art,easy
4-5,Kindergarten / Pre-Primary,art and music,Listen to different music styles and identify fast and slow beats,Develop auditory discrimination,medium
4-5,Kindergarten / Pre-Primary,art and music,Create patterns using stamps or shapes,Enhance pattern recognition and creativity,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw scenes from stories heard in class,Encourage imagination and story comprehension,medium
4-5,Kindergarten / Pre-Primary,art and music,Create handprint or footprint art,Develop sensory and creative skills,easy
4-5,Kindergarten / Pre-Primary,art and music,Participate in a simple group song or chant,Promote teamwork and rhythm understanding,easy
4-5,Kindergarten / Pre-Primary,art and music,Use clay or playdough to make shapes and figures,Develop tactile and sculpting skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Draw favorite toys or objects,Encourage personal expression and observation,easy
4-5,Kindergarten / Pre-Primary,art and music,Explore making sounds with household items,Experiment with sound creation and creativity,medium
4-5,Kindergarten / Pre-Primary,art and music,"Paint with different tools: brushes, sponges, fingers",Develop fine motor skills and creative expression,medium
4-5,Kindergarten / Pre-Primary,art and music,Create a rhythm using claps and stomps,Build sense of timing and coordination,easy
4-5,Kindergarten / Pre-Primary,art and music,Draw emotions using facial expressions,Combine art with emotional awareness,medium
4-5,Kindergarten / Pre-Primary,art and music,Create patterns using beads or buttons,Enhance fine motor and patterning skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Sing call-and-response songs,Improve listening and vocal skills,easy
4-5,Kindergarten / Pre-Primary,art and music,"Draw seasonal scenes (rain, snow, sun)",Integrate observation of environment with art,medium
4-5,Kindergarten / Pre-Primary,art and music,Create simple musical rhythms using sticks or bars,Develop rhythm awareness and coordination,medium
4-5,Kindergarten / Pre-Primary,art and music,Make a self-portrait using crayons or pencils,Encourage self-awareness and fine motor skills,medium
4-5,Kindergarten / Pre-Primary,art and music,Decorate a classroom space with themed crafts,Promote creativity and teamwork,medium
4-5,Kindergarten / Pre-Primary,art and music,Create a nature collage using leaves and flowers,Combine creativity with observation of nature,medium
4-5,Kindergarten / Pre-Primary,art and music,"Paint patterns with dots, lines, and shapes",Develop fine motor control and patterning,medium
