age_month,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
46-48,feeding,Support healthy food choices.,Choosing healthier options when given a choice,Choice-based decisions build long-term healthy eating habits.,Offer two healthy options and let the child choose.,['Offer healthy choices'],['Decide every choice'],Choice builds ownership.
46-48,feeding,Encourage awareness of nutritious foods.,Identifying foods that help the body grow,Understanding benefits supports healthier decisions.,"Explain simply how foods help muscles, bones, or energy.",['Explain benefits simply'],['Use fear-based talk'],Knowledge guides choices.
46-48,feeding,Reduce dependence on processed foods.,Accepting home-cooked meals regularly,Regular home meals improve nutrition balance.,Serve familiar healthy foods consistently.,['Serve consistently'],['Replace meals with snacks'],Consistency builds acceptance.
46-48,feeding,Build balanced plate habits.,Including fruits or vegetables at meals,Balanced plates support overall health.,Add one fruit or vegetable to every meal.,['Include produce daily'],['Treat vegetables as optional'],Balance matters daily.
46-48,feeding,Encourage mindful eating.,Eating meals without distractions,Mindful eating supports appetite regulation.,Keep meals screen-free and calm.,['Remove screens'],['Distract to increase intake'],Focus supports fullness cues.
46-48,feeding,Support self-regulation at meals.,Stopping eating when feeling full,Self-regulation prevents overeating.,Ask how the tummy feels during meals.,['Check fullness cues'],['Insist on finishing'],Trust appetite signals.
46-48,feeding,Encourage healthy snack habits.,Choosing nutritious snacks independently,Healthy snacks support steady energy.,Stock accessible shelves with healthy options.,['Prepare healthy snacks'],['Leave only junk options'],Environment shapes choices.
46-48,feeding,Build hydration awareness.,Choosing water when thirsty,Water supports digestion and focus.,Offer water regularly and model drinking it.,['Model water intake'],['Offer sugary drinks routinely'],"Water first, always."
46-48,feeding,Reduce food-related power struggles.,Eating meals without negotiating bites,Neutral meals reduce stress and resistance.,Serve balanced meals without bargaining.,['Stay neutral'],['Negotiate every bite'],Neutrality builds trust.
46-48,feeding,Maintain positive attitudes toward food.,Talking neutrally about healthy foods,Neutral language prevents food anxiety.,Describe foods without labeling them good or bad.,['Use neutral language'],['Moralize food'],Calm talk builds healthy habits.
46-48,sleep,Maintain stable sleep routines.,Following the same bedtime routine nightly,Consistency signals the body it is time to rest.,Keep bedtime steps in the same order every night.,['Keep routines consistent'],['Change routines frequently'],Routine builds sleep security.
46-48,sleep,Encourage independent sleep initiation.,Falling asleep without parental presence,Independent sleep supports uninterrupted rest.,Say goodnight and leave while the child is awake.,['Leave while awake'],['Stay until asleep'],Independence supports better sleep.
46-48,sleep,Support emotional readiness for bedtime.,Settling emotions before going to bed,Emotional calm helps the body relax into sleep.,Include calm talking or reading before bed.,['Create calm time'],['Allow high stimulation'],Calm minds sleep better.
46-48,sleep,Reduce bedtime resistance.,Going to bed without repeated protests,Reduced resistance prevents bedtime stress.,Give advance warnings before bedtime.,['Give time warnings'],['Surprise bedtime'],Predictability reduces protests.
46-48,sleep,Maintain consistent sleep timing.,Going to bed at a consistent time,Regular timing supports healthy circadian rhythm.,Set and follow a fixed bedtime daily.,['Keep bedtime fixed'],['Shift bedtime often'],Timing trains the body.
46-48,sleep,Support overnight independence.,Returning to sleep after brief awakenings,Self-soothing supports full-night rest.,Offer brief reassurance without staying long.,['Keep reassurance brief'],['Fully engage at night'],Night calm supports sleep.
46-48,sleep,Encourage responsibility for sleep needs.,Preparing sleep environment independently,Preparation builds ownership of sleep routines.,Let the child arrange pillows or comfort items.,['Allow preparation'],['Do everything for them'],Ownership builds cooperation.
46-48,sleep,Reduce dependence on sleep props.,Sleeping without extra comfort items,Fewer props support consistent sleep across settings.,Gradually reduce reliance on extra items.,['Reduce gradually'],['Remove suddenly'],Gradual change works best.
46-48,sleep,Support calm morning transitions.,Waking up calmly at routine time,Calm mornings support better daily regulation.,Wake gently and keep mornings predictable.,['Wake gently'],['Rush mornings'],Calm mornings start good days.
46-48,sleep,Reinforce positive sleep behaviors.,Taking pride in sleeping independently,Pride motivates continued healthy sleep habits.,Acknowledge successful independent sleep.,['Acknowledge success'],['Ignore progress'],Recognition builds confidence.
46-48,hygiene,Build full bathroom independence.,Using the toilet independently,Independent toilet use supports confidence and self-care.,Ensure easy access to the toilet and provide privacy.,['Encourage independence'],['Hover unnecessarily'],Privacy builds confidence.
46-48,hygiene,Support complete toileting routine.,Flushing the toilet after use,Completing steps reinforces responsibility.,Model flushing as part of the routine.,['Model the routine'],['Skip steps'],Finish every step.
46-48,hygiene,Encourage hygiene awareness.,Washing hands independently after bathroom use,Handwashing prevents illness and builds hygiene habits.,Keep soap accessible and use visual reminders.,['Keep supplies reachable'],['Wash hands for the child'],"Hands clean, germs gone."
46-48,hygiene,Improve thorough handwashing.,Using soap and rinsing completely,Thorough washing removes germs effectively.,Teach rubbing hands together for the length of a short song.,['Use a handwashing song'],['Rush washing'],Time makes hands cleaner.
46-48,hygiene,Support drying routines.,Drying hands properly after washing,Dry hands prevent spreading germs.,Show how to dry hands fully with a towel.,['Model drying'],['Leave hands wet'],Dry hands finish the job.
46-48,hygiene,Encourage bathroom responsibility.,Putting toilet seat and lid back properly,Responsibility keeps the bathroom clean.,Add this step to the bathroom checklist.,['Include in routine'],['Ignore mess'],Care for shared spaces.
46-48,hygiene,Build awareness of cleanliness.,Noticing when hands or clothes are dirty,Awareness supports timely hygiene actions.,Ask the child to check if hands look clean.,['Prompt self-check'],['Correct silently'],Awareness builds habit.
46-48,hygiene,Encourage help-seeking when needed.,Asking for help during bathroom tasks,Asking appropriately prevents accidents.,Reassure the child that asking for help is okay.,['Welcome help requests'],['Shame mistakes'],Help is part of learning.
46-48,hygiene,Maintain consistency across settings.,Following bathroom routines outside the home,Consistency prevents regression.,Review bathroom steps before outings.,['Review steps'],['Allow skipping routines'],Routines travel with the child.
46-48,hygiene,Encourage pride in independence.,Recognizing successful bathroom independence,Recognition reinforces self-care habits.,Acknowledge independence without overpraise.,['Acknowledge effort'],['Ignore success'],Confidence grows through recognition.
46-48,behavior,Build self-control during daily activities.,Pausing before acting on impulses,Pausing reduces impulsive behavior and supports decision-making.,Prompt a brief pause and a breath before responding.,['Prompt pausing'],['Rush responses'],"Pause first, act next."
46-48,behavior,Support emotional regulation.,Using calming strategies independently,Independent regulation builds resilience and control.,Practice breathing or quiet breaks during calm moments.,['Practice calming tools'],['Wait for meltdown'],Practice before it’s needed.
46-48,behavior,Encourage thoughtful responses.,Choosing words instead of actions when upset,Verbal expression prevents physical reactions.,Model phrases to express feelings and needs.,['Model feeling words'],['Ignore verbal attempts'],Words guide behavior.
46-48,behavior,Build patience in waiting situations.,Waiting calmly for a turn,Waiting supports cooperation and fairness.,Use timers or cues to mark waiting time.,['Use clear cues'],['Remove waits entirely'],Waiting is a skill.
46-48,behavior,Support frustration tolerance.,Continuing effort after a mistake,Persistence builds problem-solving and confidence.,Acknowledge effort and suggest a next try.,['Acknowledge effort'],['Fix immediately'],Try again builds strength.
46-48,behavior,Encourage rule-based self-control.,Following rules without reminders,Internalized rules support independence.,State expectations once and follow through consistently.,['Be consistent'],['Repeat endlessly'],Consistency builds control.
46-48,behavior,Develop awareness of body signals.,Noticing early signs of big emotions,Early awareness prevents escalation.,Name early cues like tight fists or fast breathing.,['Name early cues'],['Wait for escalation'],Early notice prevents big reactions.
46-48,behavior,Support recovery after upset.,Returning to calm after disappointment,Recovery builds emotional resilience.,Stay present and guide calming steps.,['Stay supportive'],['Withdraw support'],Recovery matters.
46-48,behavior,Encourage self-monitoring.,Checking behavior against expectations,Self-checking supports responsible choices.,Ask brief self-check questions before actions.,['Prompt self-check'],['Monitor constantly'],Self-check builds responsibility.
46-48,behavior,Build confidence in self-control.,Taking pride in managing behavior,Pride reinforces continued self-regulation.,Acknowledge moments of good self-control.,['Acknowledge success'],['Ignore progress'],Recognition strengthens control.
46-48,language,Improve clarity in spoken sentences.,Speaking in complete sentences,Complete sentences help others understand ideas clearly.,Model full sentences and gently expand short phrases.,['Model full sentences'],['Correct harshly'],Modeling builds clarity.
46-48,language,Support clear pronunciation.,Pronouncing words clearly in conversation,Clear speech improves communication confidence.,Repeat unclear words slowly and correctly.,['Repeat clearly'],['Mock mispronunciations'],Gentle correction works.
46-48,language,Encourage organized expression.,Explaining ideas in logical order,Organized speech supports storytelling and explanations.,"Ask what happened first, next, and last.",['Use sequencing prompts'],['Rush explanations'],Order improves understanding.
46-48,language,Build confidence in speaking.,Speaking clearly in group settings,Group speaking builds social communication skills.,Encourage sharing ideas during group activities.,['Encourage gently'],['Force speaking'],Confidence grows gradually.
46-48,language,Improve listener awareness.,Adjusting speech so others can understand,Awareness supports effective communication.,Ask if the listener understood the message.,['Check understanding'],['Ignore confusion'],Clear speech considers the listener.
46-48,language,Support descriptive language.,Adding details to sentences,Details make communication richer and clearer.,"Prompt with questions like who, where, or how.",['Prompt for details'],['Accept vague replies always'],Details improve clarity.
46-48,language,Encourage appropriate volume control.,Using suitable speaking volume,Volume control supports respectful communication.,Model indoor and outdoor voice differences.,['Model voice levels'],['Yell corrections'],Model the voice you want.
46-48,language,Build sentence expansion skills.,Expanding ideas when asked follow-up questions,Expansion supports deeper conversation.,Ask open-ended questions and wait for response.,['Ask open questions'],['Answer for the child'],Wait time matters.
46-48,language,Support conversational flow.,Staying on topic while speaking,Topic maintenance supports clear conversations.,Gently redirect back to the main topic.,['Redirect gently'],['Scold off-topic speech'],Gentle guidance keeps focus.
46-48,language,Build pride in communication skills.,Recognizing clear communication success,Recognition reinforces effective speech habits.,Acknowledge when ideas are shared clearly.,['Acknowledge clarity'],['Ignore progress'],Recognition builds confidence.
46-48,cognitive,Build understanding of basic quantities.,Recognizing more and less,Quantity comparison supports early math reasoning.,Compare two small groups of objects and ask which has more.,['Use real objects'],['Use abstract drills'],Concrete examples build understanding.
46-48,cognitive,Support number recognition.,Identifying numerals 1–10,Number recognition is foundational for math learning.,"Point out numbers in books, signs, and toys.",['Point out numbers'],['Force memorization'],Casual exposure works best.
46-48,cognitive,Encourage counting accuracy.,Counting objects with one-to-one correspondence,Accurate counting prevents number confusion.,Touch each object while counting aloud together.,['Touch while counting'],['Count too fast'],Slow counting improves accuracy.
46-48,cognitive,Build understanding of order.,"Understanding first, next, and last",Order concepts support sequencing and logic.,Use daily routines to label order of actions.,['Use routine language'],['Skip sequence words'],Daily language teaches order.
46-48,cognitive,Support early addition thinking.,Combining small groups of objects,Combining sets introduces addition concepts.,Put two small groups together and count the total.,['Combine small sets'],['Use symbols early'],Hands-on comes first.
46-48,cognitive,Encourage problem-solving persistence.,Trying different ways to solve a problem,Flexibility supports strong thinking skills.,Ask what else could work when stuck.,['Encourage alternatives'],['Give answers immediately'],Thinking grows through trying.
46-48,cognitive,Build pattern awareness.,Recognizing simple patterns,Patterns are a foundation of math logic.,Create simple color or shape patterns together.,['Create simple patterns'],['Make patterns complex'],Simple patterns teach best.
46-48,cognitive,Support classification skills.,Sorting objects by one feature,Sorting builds categorization and reasoning.,Sort toys by color or size.,['Sort one feature'],['Mix many rules'],One rule at a time.
46-48,cognitive,Encourage number use in daily life.,Using numbers during play,Practical use strengthens understanding.,"Count steps, snacks, or toys during play.",['Use daily counting'],['Limit math to worksheets'],Everyday math sticks.
46-48,cognitive,Build confidence in thinking skills.,Showing pride after solving a problem,Positive emotion reinforces learning.,Acknowledge effort and solutions found.,['Acknowledge effort'],['Focus only on correctness'],Effort matters most.
46-48,motor,Develop balance and coordination.,Hopping on one foot briefly,Single-leg balance strengthens coordination and body control.,Play hopping games on soft surfaces.,['Practice hopping playfully'],['Expect long duration'],Short hops build balance.
46-48,motor,Improve dynamic balance.,Balancing while walking on a line,Balance control supports safe movement.,Draw a line on the ground and walk along it.,['Practice line walking'],['Rush movement'],Slow balance builds skill.
46-48,motor,Strengthen lower-body control.,Jumping forward with controlled landing,Controlled landings reduce injury risk.,Practice jumping and landing with bent knees.,['Model safe landing'],['Encourage reckless jumps'],Land softly for safety.
46-48,motor,Build coordination during movement.,Alternating feet while hopping,Alternating movements support bilateral coordination.,Turn hopping into a game with rhythm.,['Use rhythmic play'],['Correct harshly'],Rhythm supports coordination.
46-48,motor,Encourage body awareness.,Adjusting movement to avoid obstacles,Awareness prevents falls and collisions.,Create simple obstacle courses.,['Use obstacle play'],['Overcrowd space'],Awareness improves safety.
46-48,motor,Support endurance in active play.,Sustaining hopping or balancing for longer periods,Endurance supports physical confidence.,Gradually extend play duration.,['Increase gradually'],['Push too hard'],Progress builds strength.
46-48,motor,Improve coordination with direction changes.,Changing direction while hopping or running,Direction control supports sports readiness.,Use games with start–stop and turn cues.,['Use movement cues'],['Ignore fatigue'],Control matters more than speed.
46-48,motor,Encourage confidence in physical ability.,Trying new movement challenges willingly,Confidence supports ongoing motor development.,Offer encouragement without pressure.,['Encourage effort'],['Compare to others'],Confidence grows with support.
46-48,motor,Support safety awareness during movement.,Stopping movement when signaled,Responding to stop cues prevents accidents.,Practice freeze-and-go games.,['Practice stop games'],['Yell unpredictably'],Clear cues keep play safe.
46-48,motor,Build pride in physical skills.,Recognizing successful balance or hopping attempts,Recognition motivates continued practice.,Acknowledge effort and improvement.,['Acknowledge progress'],['Ignore attempts'],Progress deserves recognition.
46-48,social,Encourage teamwork during play.,Working with peers toward a shared goal,Teamwork builds cooperation and social understanding.,Use games that require working together to finish.,['Encourage cooperation'],['Focus only on winning'],Team effort matters.
46-48,social,Support role sharing.,Taking turns in group activities,Turn-taking supports fairness and patience.,Assign simple roles that rotate during play.,['Rotate roles'],['Let one child dominate'],Everyone gets a turn.
46-48,social,Encourage collaborative problem-solving.,Suggesting ideas during group tasks,Sharing ideas builds confidence and group skills.,Ask what idea they have for the group.,['Invite ideas'],['Ignore contributions'],Ideas matter.
46-48,social,Build respect for others’ contributions.,Listening to teammates’ suggestions,Listening builds mutual respect.,Model attentive listening during play.,['Model listening'],['Interrupt frequently'],Listening builds teamwork.
46-48,social,Support cooperation during disagreements.,Finding group solutions during conflicts,Group solutions strengthen teamwork.,Guide children to choose solutions together.,['Guide collaboration'],['Solve alone'],Shared solutions last.
46-48,social,Encourage shared responsibility.,Completing group tasks together,Shared responsibility builds accountability.,Break tasks into parts and assign collaboratively.,['Assign shared tasks'],['Do tasks for them'],Together is stronger.
46-48,social,Build awareness of group roles.,Understanding different roles in a team,Role awareness supports cooperation.,Talk about who does what in a group activity.,['Explain roles'],['Keep roles unclear'],Roles guide teamwork.
46-48,social,Encourage patience in group settings.,Waiting while others complete their part,Patience supports smoother collaboration.,Praise waiting behavior during group tasks.,['Praise patience'],['Rush group work'],Patience supports teamwork.
46-48,social,Support repair after group conflict.,Rejoining group play after disagreements,Repair maintains social connections.,Encourage apology and return to play.,['Encourage repair'],['Exclude after conflict'],Repair restores teamwork.
46-48,social,Build confidence in teamwork.,Taking pride in contributing to a group,Pride motivates positive social behavior.,Acknowledge contributions made to group success.,['Acknowledge contributions'],['Ignore efforts'],Contribution builds confidence.
46-48,safety,Encourage consistent helmet use.,Wearing a helmet during riding activities,Helmet use reduces risk of head injury.,Make helmet use a non-negotiable rule before riding.,['Insist on helmet use'],['Allow riding without helmet'],"Helmet first, always."
46-48,safety,Build understanding of safety reasons.,Knowing why helmets are important,Understanding increases compliance with safety rules.,Explain simply how helmets protect the head.,['Explain reasons'],['Use fear tactics'],Understanding builds cooperation.
46-48,safety,Support independent safety habits.,Remembering to ask for a helmet,Initiation shows growing safety awareness.,Pause before riding and wait for the child to ask.,['Wait for initiation'],['Always remind first'],Initiation shows readiness.
46-48,safety,Ensure proper helmet fit.,Adjusting helmet straps correctly,Proper fit ensures effective protection.,Show how straps should feel snug but comfortable.,['Check fit together'],['Ignore loose straps'],Fit matters as much as wearing.
46-48,safety,Encourage rule consistency.,Wearing a helmet in all riding locations,Consistency prevents selective rule-following.,"Apply helmet rules at home, park, and school.",['Be consistent everywhere'],['Allow exceptions'],"Same rule, everywhere."
46-48,safety,Support calm response to safety limits.,Accepting helmet rules without argument,Acceptance reduces power struggles around safety.,State the rule calmly and proceed.,['Stay calm and firm'],['Debate repeatedly'],Calm firmness works.
46-48,safety,Build awareness of personal responsibility.,Checking helmet before starting to ride,Self-checking supports independent safety behavior.,Ask if everything is ready before riding.,['Prompt self-check'],['Skip checks'],Check before you go.
46-48,safety,Encourage modeling of safety behavior.,Reminding peers to wear helmets,Modeling reinforces personal safety habits.,Praise reminders given to others.,['Praise modeling'],['Discourage speaking up'],Safety leaders inspire others.
46-48,safety,Support decision-making around safety.,Stopping play if helmet is removed,Stopping reinforces the seriousness of safety rules.,Pause activity immediately when helmet comes off.,['Stop play consistently'],['Ignore removal'],"No helmet, no ride."
46-48,safety,Build pride in safe behavior.,Taking pride in following helmet rules,Positive identity supports long-term safety habits.,Acknowledge responsible safety choices.,['Acknowledge responsibility'],['Overlook safe behavior'],Safety choices deserve recognition.
46-48,independence,Encourage responsibility for assigned tasks.,Completing small daily tasks independently,Task completion builds confidence and responsibility.,Assign one or two simple daily tasks and observe.,['Assign clear tasks'],['Do tasks for the child'],Ownership builds responsibility.
46-48,independence,Support follow-through.,Finishing tasks before moving on,Follow-through strengthens reliability.,Prompt completion before starting new activities.,['Prompt completion'],['Allow task switching'],Finish what you start.
46-48,independence,Build awareness of responsibilities.,Remembering assigned tasks,Memory for tasks supports independence.,Use visual reminders or simple checklists.,['Use visual cues'],['Rely only on verbal reminders'],Visuals support memory.
46-48,independence,Encourage task initiation.,Starting tasks without reminders,Initiation shows growing self-management.,Pause before reminding and allow time to start.,['Allow pause'],['Prompt immediately'],Space allows initiative.
46-48,independence,Support responsibility for materials.,Gathering needed items for tasks,Preparation builds planning skills.,Ask what is needed before beginning.,['Prompt planning'],['Prepare everything'],Preparation builds independence.
46-48,independence,Build accountability.,Accepting feedback about unfinished tasks,Feedback supports learning responsibility.,"Give calm, specific feedback on task completion.",['Give calm feedback'],['Criticize harshly'],Feedback guides growth.
46-48,independence,Encourage consistency across settings.,Completing tasks at home and outside,Consistency strengthens responsibility habits.,Assign similar tasks in different environments.,['Keep tasks consistent'],['Drop expectations elsewhere'],Responsibility travels with the child.
46-48,independence,Support problem-solving during tasks.,Asking for help when stuck,Appropriate help-seeking prevents frustration.,Encourage asking before giving up.,['Encourage help-seeking'],['Rescue immediately'],Help-seeking is a skill.
46-48,independence,Build pride in responsibility.,Recognizing task completion success,Recognition reinforces responsible behavior.,Acknowledge finished tasks specifically.,['Acknowledge completion'],['Ignore effort'],Completion deserves recognition.
46-48,independence,Sustain long-term responsibility habits.,Maintaining task responsibility over time,Consistency builds reliable independence.,Keep expectations steady and age-appropriate.,['Keep expectations steady'],['Change rules often'],Consistency builds reliability.
46-48,parent self-care & stress management,Manage increased verbal negotiation from the child.,"Recognizing negotiation as developmental, not defiance",Understanding intent reduces frustration and overreaction.,Pause and label negotiation internally before responding.,['Reframe behavior'],['Take negotiation personally'],Negotiation shows growing thinking.
46-48,parent self-care & stress management,Maintain emotional control during conflicts.,Regulating emotions before responding,Regulated parents model calm problem-solving.,Take a breath and slow speech intentionally.,['Pause before responding'],['React impulsively'],Your calm leads the moment.
46-48,parent self-care & stress management,Avoid burnout from constant demands.,Scheduling short personal recovery breaks,Regular recovery prevents emotional exhaustion.,Plan small daily pauses for yourself.,['Protect short breaks'],['Run without rest'],Rest sustains patience.
46-48,parent self-care & stress management,Set healthy emotional boundaries.,Separating child emotions from personal worth,Boundaries reduce guilt and emotional overload.,Remind yourself that feelings are not failures.,['Maintain boundaries'],['Internalize every reaction'],Feelings pass; you remain steady.
46-48,parent self-care & stress management,Sustain mental resilience.,Reframing difficult days realistically,Balanced thinking prevents discouragement.,Name one thing that went well each day.,['Notice positives'],['Focus only on struggles'],Perspective protects resilience.
46-48,parent self-care & stress management,Prevent emotional overload.,Lowering expectations on high-stress days,Flexible expectations protect emotional health.,Choose one priority and release the rest.,['Prioritize essentials'],['Demand perfection'],Enough is enough.
46-48,parent self-care & stress management,Maintain self-compassion.,Using supportive self-talk after mistakes,Self-compassion reduces guilt and stress.,Replace criticism with kind inner statements.,['Practice self-kindness'],['Self-blame'],Kindness restores strength.
46-48,parent self-care & stress management,Build emotional awareness.,Noticing early signs of parent stress,Early awareness allows timely regulation.,Check body tension and thought patterns.,['Monitor stress signals'],['Ignore warning signs'],Early signals prevent burnout.
46-48,parent self-care & stress management,Seek support when needed.,Sharing parenting challenges with trusted adults,Support reduces isolation and stress.,Schedule regular check-ins with support people.,['Reach out'],['Carry stress alone'],Support strengthens parents.
46-48,parent self-care & stress management,Preserve long-term emotional balance.,Viewing challenges as temporary phases,Perspective prevents emotional exhaustion.,Remind yourself that development comes in phases.,['Keep perspective'],['Catastrophize'],This phase will pass.
46-48,"parental teamwork, planning & consistency",Respond consistently to child negotiation.,Using the same response to repeated negotiation attempts,Consistency reduces repeated bargaining and confusion.,Agree on standard responses before situations arise.,['Use agreed responses'],['Change answers repeatedly'],Consistency ends negotiation loops.
46-48,"parental teamwork, planning & consistency",Share responsibility for discipline.,Backing each other’s discipline decisions,Unified discipline builds trust and clear boundaries.,Discuss discipline approaches privately and align.,['Support publicly'],['Undermine decisions'],Unity strengthens limits.
46-48,"parental teamwork, planning & consistency",Clarify parenting roles.,Dividing parenting responsibilities clearly,Clear roles prevent burnout and overlap.,List and agree on who handles which tasks.,['Define roles'],['Assume roles implicitly'],Clarity reduces stress.
46-48,"parental teamwork, planning & consistency",Coordinate daily routines.,Keeping routines consistent across caregivers,Predictable routines support cooperation and security.,Document routines and share them.,['Share routine details'],['Change routines casually'],Predictability builds calm.
46-48,"parental teamwork, planning & consistency",Provide mutual emotional support.,Checking in with each other during challenging days,Emotional support strengthens teamwork and patience.,Ask brief check-in questions daily.,['Check in regularly'],['Ignore partner stress'],Support fuels teamwork.
46-48,"parental teamwork, planning & consistency",Plan ahead for challenging moments.,Anticipating negotiation-heavy situations,Preparation reduces reactive parenting.,Discuss likely challenges and plan responses.,['Plan ahead'],['React on the spot'],Preparation prevents conflict.
46-48,"parental teamwork, planning & consistency",Maintain alignment as the child grows.,Revisiting parenting strategies regularly,Ongoing alignment prevents inconsistency.,Schedule short alignment check-ins.,['Review strategies'],['Assume alignment lasts forever'],Alignment needs upkeep.
46-48,"parental teamwork, planning & consistency",Repair teamwork after disagreements.,Resolving parenting conflicts privately,Repair restores emotional safety and cooperation.,Discuss differences calmly away from the child.,['Repair quickly'],['Carry resentment'],Repair strengthens partnership.
46-48,"parental teamwork, planning & consistency",Ensure consistent follow-through.,Following through on agreed limits,Follow-through builds credibility and trust.,Confirm limits together before enforcing.,['Follow through'],['Change limits mid-way'],Credibility comes from consistency.
46-48,"parental teamwork, planning & consistency",Sustain long-term parenting partnership.,Reinforcing shared parenting values,Shared values guide consistent decisions over time.,Revisit core parenting values periodically.,['Revisit values'],['Let values drift'],Values anchor teamwork.
49-51,feeding,Encourage mindful eating habits.,Noticing hunger and fullness cues,Awareness of body cues supports healthy eating patterns.,Ask how the stomach feels before and after meals.,['Ask about body cues'],['Force finishing food'],Listening to the body builds balance.
49-51,feeding,Reduce distracted eating.,Eating meals without screens,Focused eating improves digestion and self-regulation.,Keep meals screen-free and calm.,['Remove screens'],['Allow device use'],Focus supports awareness.
49-51,feeding,Build pace awareness at meals.,"Eating at a steady, relaxed pace",A calm pace supports fullness recognition.,Model slow eating and pause between bites.,['Model slow eating'],['Rush meals'],Slow eating supports balance.
49-51,feeding,Encourage thoughtful food choices.,Choosing foods that help the body feel good,Mindful choices support long-term health.,Talk about how foods affect energy and mood.,['Discuss food effects'],['Label foods as bad'],Focus on how food feels.
49-51,feeding,Support stopping when satisfied.,Leaving food when no longer hungry,Stopping prevents overeating.,Respect signals when the child says they are full.,['Respect fullness'],['Insist on clean plate'],Full is enough.
49-51,feeding,Encourage mindful snacking.,Choosing snacks intentionally,Intentional snacking supports appetite balance.,Offer planned snack times with limited options.,['Plan snack times'],['Allow constant grazing'],Structure supports mindfulness.
49-51,feeding,Build awareness of thirst.,Choosing water when thirsty,Hydration supports digestion and focus.,Offer water first and model drinking it.,['Offer water first'],['Use sweet drinks'],Water supports awareness.
49-51,feeding,Encourage meal presence.,Staying seated during meals,Staying seated supports focus and safety.,Set clear expectations for mealtime seating.,['Set seating expectations'],['Allow roaming'],Seated meals support mindfulness.
49-51,feeding,Reduce emotional eating patterns.,Separating emotions from eating,Emotional awareness supports healthy coping.,Name feelings and offer comfort without food.,['Name emotions'],['Use food to soothe'],Comfort is not always food.
49-51,feeding,Build positive food conversations.,Talking neutrally about meals,Neutral talk prevents food anxiety.,Describe food without judgment.,['Use neutral language'],['Praise or shame eating'],Neutral talk builds trust.
49-51,sleep,Build responsibility around bedtime.,Preparing for bed independently,Preparation builds ownership of bedtime routines.,Use a simple bedtime checklist the child follows.,['Use bedtime checklist'],['Do every step for them'],Preparation builds independence.
49-51,sleep,Encourage consistent bedtime behavior.,Starting bedtime routine on time,Timely routines support healthy sleep patterns.,Give time warnings before starting bedtime.,['Give time warnings'],['Delay bedtime'],Predictability supports sleep.
49-51,sleep,Support independent sleep onset.,Going to sleep without reminders,Independence supports uninterrupted rest.,Leave the room while the child is awake.,['Leave while awake'],['Stay until asleep'],Independence builds confidence.
49-51,sleep,Maintain calm bedtime atmosphere.,Using calming strategies before sleep,Calm evenings support quality sleep.,Include reading or breathing exercises before bed.,['Include calming activities'],['Allow high stimulation'],Calm nights support rest.
49-51,sleep,Reduce bedtime negotiations.,Accepting bedtime limits calmly,Calm acceptance prevents power struggles.,State bedtime rules once and follow through.,['Be calm and firm'],['Debate repeatedly'],Firm calmness works.
49-51,sleep,Support overnight independence.,Returning to sleep after brief awakenings,Self-soothing supports full-night rest.,Offer brief reassurance without staying long.,['Keep reassurance brief'],['Engage fully at night'],Night calm supports sleep.
49-51,sleep,Encourage responsibility for sleep environment.,Preparing bed and comfort items,Ownership supports bedtime cooperation.,Let the child arrange pillows or blankets.,['Allow preparation'],['Arrange everything'],Ownership builds cooperation.
49-51,sleep,Maintain consistent sleep timing.,Going to bed at a regular time,Regular timing supports circadian rhythm.,Set a fixed bedtime each night.,['Keep bedtime fixed'],['Shift bedtime often'],Timing trains the body.
49-51,sleep,Build confidence in bedtime independence.,Taking pride in managing bedtime,Pride motivates continued independence.,Acknowledge successful bedtime routines.,['Acknowledge success'],['Ignore progress'],Recognition builds confidence.
49-51,sleep,Support smooth morning transitions.,Waking calmly at routine time,Calm mornings support daily regulation.,Use gentle wake-up routines.,['Wake gently'],['Rush mornings'],Gentle mornings set the tone.
49-51,hygiene,Build consistent grooming routines.,Following a daily grooming sequence,Routine grooming supports health and self-respect.,Create a simple morning and evening grooming order.,['Use routine order'],['Skip steps often'],Routine builds habit.
49-51,hygiene,Encourage independence in personal care.,Brushing teeth without reminders,Independent care supports lifelong hygiene habits.,Link tooth brushing to fixed daily cues.,['Use routine cues'],['Remind repeatedly'],Cues build independence.
49-51,hygiene,Support grooming completeness.,Brushing hair neatly,Hair care builds self-presentation skills.,Demonstrate gentle brushing from roots to ends.,['Demonstrate technique'],['Rush grooming'],Gentle care prevents resistance.
49-51,hygiene,Build awareness of cleanliness.,Noticing when face or hands are dirty,Awareness supports timely self-care.,Ask the child to check cleanliness before meals.,['Prompt self-check'],['Correct silently'],Awareness leads to action.
49-51,hygiene,Encourage responsibility for grooming tools.,Putting grooming items back after use,Tool care builds organization and responsibility.,Assign a fixed place for each item.,['Assign item places'],['Leave items scattered'],Order supports habit.
49-51,hygiene,Improve thoroughness in hygiene.,Completing grooming without rushing,Thorough care prevents hygiene gaps.,Use a short song or timer during grooming.,['Use timer or song'],['Rush completion'],Time improves quality.
49-51,hygiene,Support grooming across settings.,Maintaining grooming habits outside home,Consistency prevents regression.,Review grooming steps before travel or school.,['Review steps'],['Drop routines outside'],Habits travel.
