age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
43-45,language / communication,Identify objects that rhyme with a given word,Develop phonological awareness and vocabulary,['Word or picture cards'],medium,10,indoor
43-45,language / communication,Use descriptive words to compare two objects,"Enhance observation, comparison, and vocabulary skills",['Pairs of objects or pictures'],medium,10,indoor
43-45,language / communication,Ask child to describe favorite activity in detail,Encourage expressive language and sentence formation,['None required'],medium,10,indoor
43-45,language / communication,Retell a familiar story and act it out,"Develop comprehension, sequencing, and expressive skills",['Storybook or props'],medium,15,indoor
43-45,language / communication,Identify objects and tell their purpose,Enhance vocabulary and functional understanding,['Everyday objects or picture cards'],medium,10,indoor
43-45,language / communication,Use opposites in context sentences,Reinforce understanding of opposites and sentence formation,['Word cards or picture prompts'],medium,10,indoor
43-45,language / communication,Describe the sequence of a daily routine using sentences,"Enhance sequencing, narrative, and sentence skills",['Picture prompts or verbal cues'],medium,15,indoor
43-45,language / communication,Tell a short story using a combination of pictures and toys,"Encourage creativity, sequencing, and expressive language",['Toys and picture cards'],medium,15,indoor
43-45,language / communication,Match descriptive words to pictures accurately,Enhance vocabulary and comprehension skills,['Picture cards and word cards'],medium,15,indoor
43-45,language / communication,Ask child to explain the differences between two scenes,"Develop observation, reasoning, and descriptive language",['Picture pairs'],medium,10,indoor
43-45,social and emotional,Play a cooperative building game with peers,Encourage teamwork and collaboration,['Building blocks or construction sets'],medium,20,indoor
43-45,social and emotional,Role-play sharing toys with friends,Develop empathy and turn-taking skills,['Toys or props for role-play'],medium,15,indoor
43-45,social and emotional,Take turns in a simple board game,Reinforce patience and cooperation,['Simple board game suitable for age'],medium,20,indoor
43-45,social and emotional,Help a friend complete a task,Encourage empathy and helpful behavior,['Simple task props'],medium,15,indoor
43-45,social and emotional,Express feelings using picture cards,Improve emotional awareness and expression,['Emotion picture cards'],medium,15,indoor
43-45,social and emotional,Comfort a friend who is upset,Develop empathy and caring skills,['None required'],medium,10,indoor
43-45,social and emotional,Practice solving a minor conflict during play,Enhance problem-solving and social skills,['Toys for guided play'],medium,15,indoor
43-45,social and emotional,Take turns in role-play scenarios,Encourage cooperation and social understanding,['Dress-up clothes or props'],medium,20,indoor
43-45,social and emotional,Express likes and dislikes verbally in a group,Develop self-expression and social interaction,['None required'],medium,10,indoor
43-45,social and emotional,Participate in a group storytelling activity,Encourage collaboration and communication,['Story prompts or picture cards'],medium,20,indoor
43-45,social and emotional,Help organize toys after playtime,Develop responsibility and teamwork,['Toys and storage bins'],easy,10,indoor
43-45,social and emotional,Play a simple cooperative game outdoors,Reinforce teamwork and social interaction,['Ball or outdoor play equipment'],medium,20,outdoor
43-45,social and emotional,Identify emotions in story characters,Enhance empathy and understanding of feelings,['Storybook with expressive characters'],medium,15,indoor
43-45,social and emotional,Take turns helping in classroom tasks,Promote cooperation and responsibility,['Simple classroom tasks'],medium,15,indoor
43-45,social and emotional,Encourage a peer to join group play,Develop social inclusion and cooperation,['Toys or games for group activity'],medium,15,indoor
43-45,social and emotional,Demonstrate patience while waiting for a turn,Reinforce self-control and social skills,['Game or group activity props'],medium,15,indoor
43-45,social and emotional,Practice giving compliments to friends,Encourage positive social interactions,['None required'],medium,10,indoor
43-45,social and emotional,Act out feelings during role-play scenarios,Enhance emotional expression and awareness,['Dress-up props or toys'],medium,20,indoor
43-45,social and emotional,Help peers clean up after a project,Develop responsibility and cooperative behavior,"['Project materials, cleaning supplies']",easy,10,indoor
43-45,social and emotional,Use words to resolve a minor disagreement,Promote problem-solving and conflict resolution,['None required'],medium,15,indoor
43-45,social and emotional,Demonstrate empathy by comforting a sad peer,Reinforce understanding and sharing of emotions,['None required'],medium,10,indoor
43-45,social and emotional,Participate in a group song or dance,Encourage teamwork and social enjoyment,['Music player or instruments'],medium,20,both
43-45,social and emotional,Practice polite greetings and introductions,Develop social etiquette and interaction skills,['None required'],medium,10,indoor
43-45,social and emotional,Work together to complete a group puzzle,Reinforce cooperation and teamwork,['Large puzzle suitable for group play'],medium,20,indoor
43-45,social and emotional,Take turns leading a group activity,Develop leadership and cooperation skills,['Props or simple activity materials'],medium,15,indoor
43-45,social and emotional,Offer help voluntarily to peers in tasks,Encourage empathy and helpful behavior,['Simple task props'],medium,15,indoor
43-45,social and emotional,Practice sharing favorite toys during play,Enhance social sharing and cooperation,['Favorite toys'],medium,15,indoor
43-45,social and emotional,Identify and express personal emotions using cards,Develop emotional awareness and expression,['Emotion cards'],medium,10,indoor
43-45,social and emotional,Role-play resolving a minor conflict with peers,Encourage problem-solving and empathy,['Props for role-play'],medium,15,indoor
43-45,social and emotional,Help peers in cooperative clean-up,Promote teamwork and responsibility,['Toys and storage bins'],easy,10,indoor
43-45,social and emotional,Express appreciation for a friend's help,Encourage positive social interactions,['None required'],medium,10,indoor
43-45,social and emotional,Participate in a group storytelling activity,Enhance collaboration and communication,['Story prompts or picture cards'],medium,20,indoor
43-45,social and emotional,Share a personal experience with peers,Develop verbal communication and confidence,['None required'],medium,15,indoor
43-45,social and emotional,Demonstrate polite greetings and farewells,Reinforce social etiquette and manners,['None required'],easy,10,indoor
43-45,social and emotional,Collaborate to create a group artwork,"Encourage teamwork, creativity, and cooperation","['Paper, crayons, paints']",medium,20,indoor
43-45,social and emotional,Encourage peers to join in a group game,Develop social inclusion and teamwork,['Game props or toys'],medium,15,indoor
43-45,social and emotional,Take turns leading a song or dance,"Enhance leadership, cooperation, and confidence",['Music player or instruments'],medium,20,both
43-45,social and emotional,Identify emotions of peers and respond appropriately,Develop empathy and social awareness,['Emotion cards or real-life scenarios'],medium,15,indoor
43-45,social and emotional,Work together to set up a play area,Promote cooperation and planning skills,['Play props or toys'],medium,15,indoor
43-45,social and emotional,Demonstrate patience while waiting for a turn in a game,Reinforce self-control and social understanding,['Game or group activity props'],medium,15,indoor
43-45,social and emotional,Encourage peers to share ideas in group activity,Promote collaboration and communication,['Activity materials or toys'],medium,15,indoor
43-45,social and emotional,Role-play expressing feelings using gestures and words,Develop emotional expression and understanding,['Props or toys for role-play'],medium,20,indoor
43-45,social and emotional,Collaborate to complete a group puzzle,Enhance teamwork and problem-solving skills,['Large group puzzle'],medium,20,indoor
43-45,social and emotional,Give compliments to peers during play,Encourage positive social interactions,['None required'],medium,10,indoor
43-45,social and emotional,Take turns leading a storytelling session,"Enhance leadership, collaboration, and communication",['Story prompts or picture cards'],medium,20,indoor
43-45,social and emotional,Demonstrate caring actions like helping a peer tie shoelaces,Reinforce empathy and helpful behavior,['Shoelaces or simple task props'],medium,15,indoor
43-45,social and emotional,Participate in group clean-up after outdoor play,Develop cooperation and responsibility,['Outdoor play materials'],easy,15,outdoor
43-45,social and emotional,Encourage friends to express their ideas in group discussion,Enhance communication and social inclusion,['Discussion prompts'],medium,15,indoor
43-45,social and emotional,Practice sharing supplies during an art activity,Develop cooperation and turn-taking,"['Art supplies like crayons, paints']",medium,20,indoor
43-45,gross motor,Hop on one foot for 5–10 seconds,Develop balance and leg strength,['Open space'],medium,10,both
43-45,gross motor,Skip across a marked line or area,Enhance coordination and rhythm,['Chalk or tape to mark lines'],medium,10,outdoor
43-45,gross motor,Climb a small playground ladder safely,Strengthen upper and lower body muscles,['Playground ladder or climbing structure'],medium,15,outdoor
43-45,gross motor,Throw a ball towards a target,Develop hand-eye coordination and aiming skills,"['Soft ball, target markers']",medium,10,both
43-45,gross motor,Catch a tossed ball with two hands,Improve reflexes and coordination,['Soft ball'],medium,10,both
43-45,gross motor,Run around a course with cones,Enhance agility and endurance,['Cones or markers'],medium,15,outdoor
43-45,gross motor,Ride a tricycle or small bicycle with training wheels,Develop coordination and leg strength,"['Tricycle or small bicycle, helmet']",medium,15,outdoor
43-45,gross motor,Jump over small obstacles or lines,Enhance jumping skills and balance,['Tape lines or soft obstacles'],medium,10,both
43-45,gross motor,Balance on a low beam or line,Improve balance and core stability,['Low balance beam or tape line'],medium,10,both
43-45,gross motor,Perform simple obstacle course with crawling and climbing,Enhance gross motor coordination and agility,"['Cushions, tunnels, low climbing structures']",medium,20,both
43-45,gross motor,Jump forward with both feet together,Strengthen leg muscles and coordination,['Open space'],medium,10,both
43-45,gross motor,Run around in a relay game with peers,Promote teamwork and endurance,"['Open space, markers for relay points']",medium,15,outdoor
43-45,gross motor,Hopscotch using numbered squares,"Develop coordination, balance, and number recognition",['Chalk or tape to make squares'],medium,15,outdoor
43-45,gross motor,Kick a ball towards a goal,Enhance coordination and gross motor control,"['Soft ball, goal markers']",medium,15,outdoor
43-45,gross motor,Crawl through a tunnel or low space,Develop coordination and spatial awareness,['Play tunnel or cushions'],medium,10,both
43-45,gross motor,Jump sideways over a rope or line,Enhance lateral coordination and agility,['Rope or tape line'],medium,10,both
43-45,gross motor,Balance while walking on tiptoes,Improve balance and leg strength,['Open space'],medium,10,indoor
43-45,gross motor,Throw and catch with a partner using a soft ball,Develop hand-eye coordination and social interaction,['Soft ball'],medium,15,both
43-45,gross motor,Run in zig-zag pattern between cones,Enhance agility and directional control,['Cones or markers'],medium,15,outdoor
43-45,gross motor,Climb onto a low platform and step down safely,Develop leg strength and coordination,['Low platform or step'],medium,10,both
43-45,gross motor,Jump over small hoops placed on the floor,Improve jumping skills and coordination,['Small hoops or rings'],medium,10,both
43-45,gross motor,Participate in a simple relay race,"Enhance speed, endurance, and teamwork","['Open space, markers for relay points']",medium,15,outdoor
43-45,gross motor,Walk forward and backward along a line,Develop balance and coordination,['Tape or chalk line'],medium,10,both
43-45,gross motor,Hop from one spot to another safely,Enhance leg strength and balance,['Open space or markers'],medium,10,both
43-45,gross motor,Crawl under a low obstacle,Improve spatial awareness and coordination,['Low obstacle or table'],medium,10,both
43-45,gross motor,Jump in place while clapping hands,Enhance coordination and rhythm,['Open space'],medium,10,indoor
43-45,gross motor,Step over small hurdles or obstacles,Improve leg strength and agility,['Small hurdles or soft obstacles'],medium,10,both
43-45,gross motor,Run while carrying a light object carefully,Develop balance and coordination,['Light object such as soft ball or beanbag'],medium,10,both
43-45,gross motor,Crawl through a zig-zag tunnel,Enhance spatial awareness and flexibility,['Play tunnel or cushions'],medium,10,indoor
43-45,gross motor,Throw balls into a basket from a short distance,Develop hand-eye coordination and aiming skills,"['Soft balls, basket or container']",medium,15,both
43-45,gross motor,Walk along a curved or wavy line,Improve balance and coordination,['Tape or chalk to mark line'],medium,10,both
43-45,gross motor,Perform jumping jacks with guidance,Develop coordination and gross motor strength,['Open space'],medium,10,indoor
43-45,gross motor,Run and stop on a signal,Improve control and reflexes,"['Open space, visual or verbal cues']",medium,10,both
43-45,gross motor,Hop forward from one marker to another,Enhance leg strength and balance,['Markers or tape'],medium,10,both
43-45,gross motor,Crawl under a rope or bar,Develop coordination and spatial awareness,['Rope or low bar'],medium,10,both
43-45,gross motor,Balance on one leg while reaching forward,Improve balance and stability,['Open space'],medium,10,indoor
43-45,gross motor,Kick a ball towards a partner,Enhance coordination and social interaction,['Soft ball'],medium,10,both
43-45,gross motor,Run while balancing a beanbag on head,"Develop posture, balance, and focus",['Beanbag or small soft object'],medium,10,both
43-45,gross motor,Jump from side to side over a line,Enhance lateral movement and coordination,['Tape or chalk line'],medium,10,both
43-45,gross motor,Crawl through a short tunnel and exit quickly,"Develop speed, flexibility, and coordination",['Tunnel or cushions'],medium,10,indoor
43-45,gross motor,Hop forward and backward alternately,Enhance balance and leg coordination,['Open space or markers'],medium,10,both
43-45,gross motor,Run along a path with small obstacles,Improve agility and coordination,"['Cones, small hurdles or cushions']",medium,15,outdoor
43-45,gross motor,Balance while stepping over objects,Strengthen core and coordination,['Small objects or blocks'],medium,10,both
43-45,gross motor,Jump sideways over soft blocks,Improve lateral jumping and balance,['Soft blocks or foam pieces'],medium,10,both
43-45,gross motor,Crawl and pick up objects along a path,"Enhance coordination, flexibility, and focus","['Small objects, open space or mat']",medium,15,both
43-45,gross motor,Run in a figure-eight pattern around cones,Develop agility and directional control,['Cones or markers'],medium,15,outdoor
43-45,gross motor,Hop forward while balancing a soft object on hands,Enhance balance and coordination,['Soft object'],medium,10,both
43-45,gross motor,Run and stop quickly at a marker,Develop reflexes and control,['Markers or cones'],medium,10,outdoor
43-45,gross motor,Jump over a small stack of soft cushions,Strengthen leg muscles and coordination,['Soft cushions or pillows'],medium,10,indoor
43-45,gross motor,Participate in a group game of tag,"Enhance endurance, speed, and social interaction",['Open space'],medium,15,outdoor
43-45,fine motor,"Draw simple shapes like circles, squares, and triangles",Develop hand-eye coordination and shape recognition,"['Paper, crayons or pencils']",medium,15,indoor
43-45,fine motor,Trace dotted letters or shapes,Improve pre-writing skills and precision,"['Tracing worksheets, pencil or crayon']",medium,15,indoor
43-45,fine motor,Thread large beads onto a string,Enhance hand-eye coordination and finger dexterity,"['Large beads, string or lace']",medium,15,indoor
43-45,fine motor,Cut along straight and curved lines with safety scissors,Develop scissor skills and hand control,"['Safety scissors, paper']",medium,15,indoor
43-45,fine motor,Stack small blocks to create towers,Enhance fine motor precision and planning,['Small blocks or building bricks'],medium,15,indoor
43-45,fine motor,Fold paper to make simple shapes,Develop hand dexterity and creativity,['Paper'],medium,10,indoor
43-45,fine motor,Draw a person with basic body parts,Enhance drawing skills and body awareness,"['Paper, crayons or pencils']",medium,20,indoor
43-45,fine motor,Complete simple puzzles with 5–10 pieces,Improve problem-solving and hand coordination,['Small puzzles'],medium,15,indoor
43-45,fine motor,Paint using brushes or fingers,Enhance creativity and fine motor control,"['Paint, brushes, paper']",medium,20,indoor
43-45,fine motor,Use a spoon to transfer small objects between containers,Develop precision and hand coordination,"['Small objects, spoons, containers']",medium,10,indoor
43-45,fine motor,Build shapes using playdough or clay,Strengthen finger muscles and creativity,['Playdough or clay'],medium,20,indoor
43-45,fine motor,"Draw patterns like zigzags, dots, and lines",Improve pre-writing skills and hand control,"['Paper, crayons or pencils']",medium,15,indoor
43-45,fine motor,String pasta or cereal onto a thread,Develop finger dexterity and coordination,"['Pasta, cereal, string']",medium,15,indoor
43-45,fine motor,"Draw simple animals like cat, dog, fish",Enhance fine motor control and creativity,"['Paper, crayons or pencils']",medium,20,indoor
43-45,fine motor,Fold and tear paper to create shapes,Develop finger strength and hand coordination,['Paper'],medium,10,indoor
43-45,fine motor,Cut along wavy or zigzag lines,Improve scissor skills and accuracy,"['Paper, safety scissors']",medium,15,indoor
43-45,fine motor,Thread buttons onto a string or card,Develop hand-eye coordination and fine motor precision,"['Buttons, string or card']",medium,15,indoor
43-45,fine motor,Draw lines to connect dots,Enhance pre-writing and coordination,"['Dot worksheets, pencil or crayon']",medium,10,indoor
43-45,fine motor,Press stamps on paper to create patterns,Develop hand control and creativity,"['Stamps, ink, paper']",medium,15,indoor
43-45,fine motor,Pick up small objects using tweezers,Strengthen finger muscles and precision,"['Tweezers, small objects like beads']",medium,15,indoor
43-45,fine motor,Create simple collage using cut-outs,Enhance creativity and cutting skills,"['Paper cut-outs, glue, paper']",medium,20,indoor
43-45,fine motor,Twist and turn bottle caps on bottles,Develop wrist and finger strength,['Bottles with caps'],medium,10,indoor
43-45,fine motor,Draw lines and shapes using stencils,Enhance hand control and accuracy,"['Stencils, pencil, paper']",medium,15,indoor
43-45,fine motor,Twist and untwist nuts and bolts,Strengthen fine motor skills and hand coordination,['Large nuts and bolts set'],medium,15,indoor
43-45,fine motor,Color inside outlines of simple pictures,"Improve control, precision, and creativity","['Coloring sheets, crayons or pencils']",medium,15,indoor
43-45,fine motor,Squeeze and release a stress ball,Strengthen hand muscles and improve grip,['Soft stress ball'],medium,10,indoor
43-45,fine motor,Pinch clothespins to pick up objects,Enhance finger strength and precision,"['Clothespins, small objects']",medium,10,indoor
43-45,fine motor,Twist pipe cleaners into shapes,Develop hand dexterity and creativity,['Pipe cleaners'],medium,15,indoor
43-45,fine motor,Draw patterns with chalk on a board or pavement,Improve hand coordination and creativity,"['Chalk, board or pavement']",medium,15,both
43-45,fine motor,Build small towers using LEGO or blocks,"Enhance precision, planning, and dexterity",['LEGO or small blocks'],medium,20,indoor
43-45,fine motor,Create simple patterns with beads,Develop sequencing skills and hand coordination,"['Beads, string']",medium,20,indoor
43-45,fine motor,Stamp letters or shapes onto paper,Strengthen hand muscles and recognition skills,"['Stamps, ink pad, paper']",medium,15,indoor
43-45,fine motor,Pick up and sort small objects using fingers,Improve dexterity and fine motor precision,"['Small objects like beads, buttons']",medium,15,indoor
43-45,fine motor,Draw lines connecting different shapes,Enhance hand-eye coordination and control,"['Paper, pencil or crayon']",medium,10,indoor
43-45,fine motor,Make handprints or footprints with paint,Develop creativity and sensory motor skills,"['Paint, paper']",medium,15,indoor
43-45,fine motor,Cut small shapes out of soft clay,Improve precision and hand control,"['Soft clay, child-safe cutting tools']",medium,15,indoor
43-45,fine motor,Fold paper into simple envelopes or shapes,Develop hand strength and coordination,['Paper'],medium,15,indoor
43-45,fine motor,Pick up and place small coins into a container,Enhance pincer grasp and precision,"['Coins, small container']",medium,10,indoor
43-45,fine motor,Color shapes within outlines carefully,"Improve control, attention to detail, and creativity","['Coloring sheets, crayons or pencils']",medium,15,indoor
43-45,fine motor,Make simple patterns using stickers,Develop creativity and hand-eye coordination,"['Stickers, paper']",medium,15,indoor
43-45,fine motor,Twist and turn playdough to create shapes,Strengthen fingers and creativity,['Playdough or clay'],medium,20,indoor
43-45,fine motor,Draw patterns using dot markers,Enhance precision and hand control,"['Dot markers, paper']",medium,15,indoor
43-45,fine motor,Cut paper strips and glue to make a collage,Improve cutting skills and creativity,"['Paper, scissors, glue, base paper']",medium,20,indoor
43-45,fine motor,Pick up marbles using fingers and place in a cup,Develop pincer grasp and coordination,"['Marbles, cup']",medium,10,indoor
43-45,fine motor,Create shapes using popsicle sticks,Enhance hand dexterity and creativity,"['Popsicle sticks, glue']",medium,15,indoor
43-45,fine motor,Scribble or draw freely on large paper,Encourage creativity and hand movement,"['Large paper, crayons, pencils']",medium,20,indoor
43-45,fine motor,Open and close small containers or boxes,Improve finger strength and coordination,['Small containers or boxes with lids'],medium,10,indoor
43-45,fine motor,Press shapes into playdough using cookie cutters,Enhance creativity and hand control,"['Playdough, cookie cutters']",medium,15,indoor
43-45,fine motor,Thread paper strips through holes,Develop coordination and precision,"['Paper strips, pre-punched holes or cards']",medium,15,indoor
43-45,fine motor,Twist and shape aluminum foil into figures,Improve hand strength and creativity,['Aluminum foil'],medium,15,indoor
43-45,daily life / self help (montessori practical life),Pour water from a small jug to a cup,Develop coordination and independence in pouring,"['Small jug, cup, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Spoon rice or beans from one bowl to another,Enhance hand-eye coordination and self-help skills,"['Bowls, spoon, rice or beans, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Transfer water using a sponge between containers,Improve coordination and concentration,"['Sponge, containers, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),"Set the table with plates, cups, and spoons",Develop responsibility and sequencing skills,"['Plates, cups, spoons, tray']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Button and unbutton large buttons on clothing,Enhance fine motor skills and independence,['Shirt or dressing frame with large buttons'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Zip and unzip jackets or bags,Develop fine motor skills and independence,['Jacket or bag with zipper'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Fold small towels or napkins,Enhance hand coordination and organization skills,['Small towels or napkins'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Sweep small area with child-sized broom,Promote responsibility and gross motor skills,"['Child-sized broom, dustpan']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Wipe table after meals using a cloth,Develop responsibility and fine motor control,"['Cloth, table']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Wash and dry fruits or vegetables,Promote hygiene awareness and independence,"['Fruits/vegetables, water, towel']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Pour dry ingredients into a bowl carefully,"Enhance focus, coordination, and independence","['Dry ingredients, bowl, spoon, tray']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Thread and lace shoe practice,Develop fine motor skills and independence,"['Shoes, laces or lace boards']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Pour and mix water in a bowl,Develop coordination and concentration,"['Bowl, water, spoon, tray']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Carry a tray with light objects from one place to another,Enhance balance and responsibility,"['Tray, light objects like cups or toys']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Pour sand from one container to another,Develop fine motor control and focus,"['Sand, containers, tray']",medium,10,both
43-45,daily life / self help (montessori practical life),Arrange shoes in a row,Develop organization skills and independence,['Shoes or slippers'],easy,10,indoor
43-45,daily life / self help (montessori practical life),Put away toys in designated places,Promote responsibility and orderliness,"['Toys, storage bins']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Wash hands independently before and after meals,Promote hygiene and independence,"['Soap, water, towel']",easy,5,indoor
43-45,daily life / self help (montessori practical life),Wipe spills with a small cloth,Develop responsibility and fine motor control,"['Cloth, tray or table']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Open and close child-friendly containers,Develop finger strength and independence,['Containers with lids'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Practice dressing using dressing frames,Enhance independence and fine motor skills,"['Dressing frames with buttons, snaps, zippers']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Fold clothes or napkins into simple shapes,Improve organization and hand coordination,"['Clothes, napkins']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Scoop rice or lentils using a spoon,Develop coordination and precision,"['Bowls, spoon, rice or lentils, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Carry a small watering can to water plants,Develop coordination and responsibility,"['Small watering can, plants']",medium,10,both
43-45,daily life / self help (montessori practical life),Pour grains or beans from one container to another using a funnel,"Enhance precision, coordination, and focus","['Grains or beans, containers, funnel, tray']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Wipe table with spray cleaner and cloth,Develop responsibility and hygiene habits,"['Spray cleaner, cloth, table']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Match socks and fold them,Enhance organization skills and independence,['Socks'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Open and pour juice from a small carton into a cup,Develop independence and coordination,"['Juice carton, cup, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Scoop and transfer sand or rice using a small cup,Improve fine motor skills and focus,"['Sand or rice, cups, tray']",medium,10,both
43-45,daily life / self help (montessori practical life),Pour water from small jug into different shaped containers,Enhance coordination and understanding of volume,"['Small jugs, containers, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Fold paper napkins into simple shapes,Develop hand coordination and attention to detail,['Napkins or paper'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Dress a doll with buttons and zippers,Improve fine motor skills and independence,"['Doll, clothes with buttons and zippers']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Carry a small basket of light toys,"Enhance balance, coordination, and responsibility","['Basket, small toys']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Arrange cutlery on a tray for pretend meals,Develop sequencing and responsibility,"['Tray, plates, spoons, forks']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Pour flour or sugar from one container to another,"Develop focus, coordination, and independence","['Flour or sugar, containers, tray, spoon']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Arrange toys or blocks in a line or pattern,Promote organization and concentration,['Toys or blocks'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Wipe chair or table legs with cloth,Develop responsibility and attention to detail,"['Cloth, chair or table']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Carry a small watering can to water indoor plants,"Enhance coordination, responsibility, and care for environment","['Small watering can, indoor plants']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Pour and mix sand with water in a tray,Develop concentration and coordination,"['Sand, water, tray, spoon']",medium,15,both
43-45,daily life / self help (montessori practical life),Remove and put on shoes independently,Enhance independence and fine motor control,['Shoes'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Wipe windows or glass surfaces with a cloth,"Develop responsibility, hand-eye coordination, and strength","['Cloth, safe glass or window surface']",medium,15,indoor
43-45,daily life / self help (montessori practical life),Pour milk or juice into small cups carefully,"Enhance focus, precision, and independence","['Milk or juice, cups, tray']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Fold small cloths or handkerchiefs,Develop organization and hand coordination,['Cloths or handkerchiefs'],medium,10,indoor
43-45,daily life / self help (montessori practical life),Carry lightweight toys from one room to another,"Improve balance, coordination, and responsibility","['Light toys, basket (optional)']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Clean up spills with sponge or cloth,Develop responsibility and fine motor control,"['Sponge or cloth, water or safe spills']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Carry and place trays of snack items,"Enhance coordination, balance, and independence","['Tray, small snack items']",medium,10,indoor
43-45,daily life / self help (montessori practical life),Pour colored water between containers for sensory activity,"Develop hand-eye coordination, focus, and sensory awareness","['Colored water, containers, tray']",medium,15,both
43-45,daily life / self help (montessori practical life),Practice opening and closing small jars with lids,"Improve hand strength, coordination, and independence",['Small jars with lids'],medium,10,indoor
43-45,creativity and imagination,Role-play being a doctor or nurse,Encourage imaginative thinking and social interaction,"['Toy medical kit, dolls or stuffed animals']",medium,20,indoor
43-45,creativity and imagination,Build a castle using blocks or LEGO,"Enhance spatial skills, creativity, and planning",['Blocks or LEGO'],medium,25,indoor
43-45,creativity and imagination,Draw and color a picture of a favorite animal,Develop fine motor skills and creativity,"['Paper, crayons or colored pencils']",medium,20,indoor
43-45,creativity and imagination,Act out a story with puppets,"Enhance imagination, language, and social skills","['Puppets, small stage or area']",medium,20,indoor
43-45,creativity and imagination,Create patterns using colored blocks,"Develop creativity, sequencing, and fine motor skills",['Colored blocks or LEGO'],medium,20,indoor
43-45,creativity and imagination,Use playdough to make animals or shapes,Strengthen hand muscles and stimulate imagination,"['Playdough, shaping tools']",medium,25,indoor
43-45,creativity and imagination,Draw a family portrait,Encourage self-expression and creativity,"['Paper, crayons or pencils']",medium,20,indoor
43-45,creativity and imagination,Create a scene using stickers on paper,Enhance creativity and visual imagination,"['Stickers, paper']",medium,15,indoor
43-45,creativity and imagination,Pretend to cook using toy kitchen set,Encourage imaginative play and sequencing,"['Toy kitchen, toy food items']",medium,20,indoor
43-45,creativity and imagination,Create imaginary creatures using clay,Develop creativity and fine motor skills,"['Clay, shaping tools']",medium,25,indoor
43-45,creativity and imagination,Act out animals’ movements and sounds,Encourage imaginative thinking and body awareness,"['Open space, props optional']",medium,15,both
43-45,creativity and imagination,Create a collage using colored paper scraps,Enhance creativity and hand coordination,"['Colored paper scraps, glue, base paper']",medium,25,indoor
43-45,creativity and imagination,Draw a picture story in sequence,Develop storytelling and creative thinking,"['Paper, crayons or pencils']",medium,25,indoor
43-45,creativity and imagination,Use scarves to dance and act out emotions,Stimulate creativity and emotional expression,"['Scarves or ribbons, music optional']",medium,20,indoor
43-45,creativity and imagination,Build a small bridge using blocks,"Enhance problem-solving, creativity, and coordination",['Blocks or LEGO'],medium,20,indoor
43-45,creativity and imagination,Draw and decorate a treasure map,Encourage imagination and planning skills,"['Paper, crayons, markers']",medium,25,indoor
43-45,creativity and imagination,Create animal masks using paper and colors,Develop creativity and role-play skills,"['Paper, crayons, scissors, elastic bands']",medium,25,indoor
43-45,creativity and imagination,Pretend to be a shopkeeper with play money,Encourage imaginative play and social interaction,"['Play money, small toys, basket']",medium,20,indoor
43-45,creativity and imagination,Paint using different brushes and techniques,Enhance artistic expression and creativity,"['Paints, brushes, paper or canvas']",medium,25,indoor
43-45,creativity and imagination,Create a story using picture cards,"Develop imagination, language, and sequencing skills",['Picture cards'],medium,20,indoor
43-45,creativity and imagination,Act out a favorite fairy tale,"Encourage creativity, imagination, and social skills",['Costumes or props optional'],medium,25,indoor
