age_group,environment,topic,scenario,safety_category,response_guidance,learning_goal,emotional_tone,message_style,trusted_action,complexity_level,reviewed_by
4–5,School,Good Touch vs Bad Touch,A classmate hugs you even when you say no.,Needs help,It’s okay to say 'No' if you don’t like a hug. Tell your teacher about it.,Help children understand body boundaries and consent.,Calm,Puppet story,Use your 'No' voice and talk to your teacher.,2,"['Teacher', 'Child psychologist']"
4–5,School,Lost in School Hallway,You go to the restroom and forget how to get back to class.,Safe choice,Stay where you are and ask a nearby teacher or helper for directions.,Teach calmness and seeking adult help when lost.,Comforting,Guided role-play,Ask an adult in a teacher badge or uniform for help.,1,['Teacher']
4–5,School,Someone Takes Your Snack,Another child grabs your snack without asking.,Needs help,Tell your teacher or classroom helper right away.,Encourage reporting when someone takes personal items.,Neutral,Classroom story,Find your teacher and explain what happened calmly.,1,['Teacher']
4–5,School,Teacher Comfort Zone,Your teacher helps you tie your shoe.,Safe touch,That’s a helpful touch. Teachers can help when you ask them to.,Show difference between caring and uncomfortable touch.,Positive,Short example,Thank your teacher and know that kind help is okay.,1,['Teacher']
4–5,School,Older Student Asks You to Follow,An older child says to follow them to another building.,Unsafe situation,"Say 'No, I’ll stay with my teacher.' and tell your teacher right away.",Teach refusal when asked to go somewhere without permission.,Firm but calm,Role-play,Stay near classroom adults or friends.,2,"['Teacher', 'Child psychologist']"
4–5,School,Falling on the Playground,You trip and scrape your knee while running.,Needs help,Go to the teacher for a bandage or visit the nurse.,Encourage seeking first aid instead of hiding pain.,Gentle,Illustrated story,Tell a teacher when you’re hurt.,1,['Teacher']
4–5,School,Bathroom Privacy,Another child tries to open your bathroom stall.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach privacy and boundaries during personal time.,Supportive,Story example,Ask a teacher for help if someone enters your space.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Scared During Fire Drill,You hear a loud alarm and feel scared.,Safe choice,Hold your teacher’s hand and walk calmly outside.,Help children stay calm during safety drills.,Reassuring,Guided routine,Follow your teacher and classmates quietly.,1,['Teacher']
4–5,School,Saying No to Tickling,A classmate keeps tickling you even after you say stop.,Needs help,It’s okay to say 'Stop!' loudly and tell your teacher.,Reinforce self-protection through voice and boundaries.,Firm,Interactive story,Use your words and find an adult helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Sharing Classroom Materials,You both want the same crayon color.,Safe choice,Take turns or ask your teacher to help share.,Promote kindness and problem-solving.,Positive,Story,Talk it out with help from a teacher.,1,['Teacher']
4–5,School,When Someone Falls Down,A classmate trips and starts crying.,Safe choice,Call your teacher to help your friend.,Encourage empathy and quick action to get help.,Caring,Role-play,Get an adult right away instead of trying to lift them.,1,['Teacher']
4–5,School,Uncomfortable Hug from an Adult,A visiting adult gives you a hug that feels wrong.,Unsafe touch,Tell your teacher or school helper right away.,Teach body autonomy and trusted adults rule.,Serious but safe,Teacher story,Go to a known adult like your class teacher or principal.,2,['Child psychologist']
4–5,School,Feeling Left Out in a Game,Friends won’t let you join a circle game.,Needs help,Tell your teacher how you feel and ask for help joining in.,Encourage emotional expression and fairness.,Supportive,Story example,Ask your teacher to help make new friends.,1,['Teacher']
4–5,School,Lunchbox Mix-Up,You accidentally take another child’s lunch.,Safe mistake,Tell your teacher and give it back politely.,Teach honesty and responsibility.,Gentle,Class story,Always check with your teacher if unsure.,1,['Teacher']
4–5,School,Stranger in the School Hall,You see someone you don’t know walking near your class.,Needs help,Tell your teacher right away without going near them.,Teach awareness of unknown people at school.,Serious,Guided scenario,Go straight to a teacher or helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Teacher Gives You a High-Five,You answer correctly and your teacher gives you a high-five.,Good touch,That’s a happy touch that celebrates your effort.,"Show positive, friendly touches from trusted adults.",Cheerful,Short example,Smile and feel proud.,1,['Teacher']
4–5,School,Someone Blocks the Door,Another child won’t let you leave the classroom.,Needs help,Say 'Please move' and tell your teacher right away.,Empower children to ask for space and seek help.,Confident,Role-play,Go to a teacher or adult assistant.,2,"['Teacher', 'Child psychologist']"
4–5,School,When Teacher is Busy,You need help but your teacher is talking to another student.,Safe waiting,Wait quietly or raise your hand until the teacher is ready.,Teach patience and proper help-seeking behavior.,Calm,Routine practice,Wait in your seat or near your desk.,1,['Teacher']
4–5,School,Telling the Truth,You spill paint on the table by mistake.,Safe honesty,Tell your teacher what happened and help clean up.,Promote honesty and responsibility for actions.,Encouraging,Story,Always tell the truth even if it’s an accident.,1,['Teacher']
4–5,School,Classroom Door Left Open,You notice the classroom door is open and someone unfamiliar is outside.,Needs help,Tell your teacher immediately and stay inside the classroom.,Teach children to be aware of strangers and seek adult help.,Serious,Story example,Go to your teacher and report safely.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Sick,You feel dizzy during class.,Needs help,Tell your teacher right away and ask to go to the nurse.,Encourage reporting health issues promptly.,Comforting,Role-play,Find a teacher or school nurse for help.,1,['Teacher']
4–5,School,Someone Touches Your Hair,A classmate keeps pulling your hair even after you ask them to stop.,Needs help,Say 'Stop!' loudly and tell your teacher.,Reinforce personal boundaries and assertiveness.,Firm,Story example,Go to a teacher immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Fire Drill Confusion,You forget where to line up during a fire drill.,Safe choice,Follow the nearest teacher and classmates calmly.,Teach children to follow instructions during drills.,Reassuring,Guided routine,Hold the teacher’s hand and stay in line.,1,['Teacher']
4–5,School,Classmate Teasing,A classmate calls you a silly name repeatedly.,Needs help,Tell your teacher what’s happening instead of ignoring it.,Teach children to report teasing rather than suffer silently.,Neutral,Role-play,Speak to a teacher or trusted adult.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accident in the Classroom,You knock over a cup of water and it spills on another student.,Safe mistake,Apologize and tell your teacher right away.,Teach responsibility and honesty in small accidents.,Calm,Story,Get help to clean up and apologize politely.,1,['Teacher']
4–5,School,Feeling Lonely During Recess,You have no one to play with outside.,Needs help,Tell your teacher or playground helper you need a friend.,Encourage social communication and seeking help.,Supportive,Story example,Ask a teacher or helper for suggestions to join a group.,1,['Teacher']
4–5,School,Someone Takes Your Toy,A classmate grabs your toy without asking.,Needs help,Say 'Please give it back' and tell the teacher if it doesn’t work.,Teach children to assert themselves and seek adult help.,Neutral,Role-play,Tell a teacher if sharing fails.,2,['Teacher']
4–5,School,Unfamiliar Adult at School Event,Someone you don’t know tries to talk to you during a school function.,Needs help,Stay near your teacher or a trusted adult and do not go with them.,Teach children stranger awareness and safety.,Serious,Guided scenario,Tell your teacher immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Classroom Conflict Over Seats,Two children want the same seat in the classroom.,Safe choice,Ask the teacher to help settle the conflict calmly.,Teach problem-solving and peaceful communication.,Calm,Story,Talk to a teacher to find a fair solution.,1,['Teacher']
4–5,School,Uncomfortable High-Five,A visiting adult insists on a high-five but you don’t want one.,Unsafe touch,"Say 'No, thank you' and move away to tell a teacher.",Teach children they can refuse unwanted physical contact.,Firm,Story example,Find a trusted adult and explain what happened.,2,"['Teacher', 'Child psychologist']"
4–5,School,Tripping on Playground Equipment,You fall off the monkey bars.,Needs help,Call for a teacher or playground helper to assist you.,Teach children to seek help after injuries.,Comforting,Story,Go to the nearest adult for first aid.,1,['Teacher']
4–5,School,Teacher Gives Instructions,You don’t understand what the teacher is asking you to do.,Safe choice,Ask politely for help or clarification.,Encourage children to seek guidance instead of guessing.,Supportive,Role-play,Raise your hand and wait for the teacher’s help.,1,['Teacher']
4–5,School,Someone Hits You by Accident,A classmate accidentally hits you while playing.,Safe mistake,Say 'Ouch!' and tell your teacher if it hurts.,Teach children to report injuries and differentiate accidents from intentional harm.,Calm,Story example,Go to the teacher if it hurts or you feel unsafe.,1,['Teacher']
4–5,School,Helping a Friend Who Fell,You see a classmate fall and cry on the playground.,Safe choice,Get a teacher instead of trying to lift them yourself.,Encourage helping behaviors with adult supervision.,Caring,Role-play,Find a teacher to help your friend.,1,['Teacher']
4–5,School,Someone Tries to Take Your Bag,Another child tries to pull your backpack.,Needs help,Say 'Stop!' and go to your teacher immediately.,Teach children to protect belongings and seek help.,Firm,Role-play,Report the situation to a teacher.,2,"['Teacher', 'Child psychologist']"
4–5,School,Fire Drill Panic,You feel scared and want to run away during a drill.,Safe choice,Hold a teacher’s hand and follow the line calmly.,Teach safety routines and emotional control.,Reassuring,Guided routine,Stay with your teacher and classmates.,1,['Teacher']
4–5,School,Classmate Hits You Repeatedly,A classmate keeps hitting you when you play.,Needs help,Tell your teacher and stay away from that child.,Teach children to report repeated harm instead of ignoring it.,Firm,Story,Seek a trusted adult immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accident with Scissors,You accidentally cut your finger while using scissors in class.,Needs help,Tell your teacher right away so they can help you and clean the cut.,Teach children to report injuries and use tools safely.,Calm,Story,Go to the teacher immediately for help.,1,['Teacher']
4–5,School,Pushed in Line,A classmate pushes you while waiting in line.,Needs help,Say 'Stop!' and tell the teacher on duty.,Teach assertiveness and seeking help when physically pushed.,Firm,Role-play,Find a teacher or playground helper immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Sick on the Playground,You feel dizzy while playing outside.,Needs help,Go to the teacher or playground helper and tell them how you feel.,Encourage children to report sudden illness or dizziness.,Comforting,Guided role-play,Find an adult immediately for help.,1,['Teacher']
4–5,School,Someone Teases You About Your Clothes,A classmate says your shirt looks funny.,Needs help,Tell your teacher about the teasing instead of feeling upset alone.,Teach children to report emotional discomfort and bullying.,Neutral,Story example,Find a teacher or classroom helper to discuss how you feel.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Takes Your Chair,Another child sits on your assigned chair.,Safe choice,"Ask politely and, if needed, tell your teacher.",Teach children to resolve small conflicts calmly with adult support.,Calm,Classroom story,Speak to the teacher if sharing doesn’t work.,1,['Teacher']
4–5,School,Unfamiliar Adult at the Door,Someone you don’t know tries to enter the classroom.,Needs help,Stay inside and tell your teacher immediately.,Teach children to recognize strangers and report to trusted adults.,Serious,Guided scenario,"Do not approach the person, go to your teacher.",2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Tries to Grab Your Food,A classmate reaches for your lunch without asking.,Needs help,Say 'Stop!' and tell your teacher.,Teach children to protect belongings and seek help.,Firm,Role-play,Report the incident to a teacher.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Trips You,A classmate trips you while running in the playground.,Needs help,Tell the teacher immediately.,Teach children to report harmful actions instead of ignoring them.,Firm,Story example,Find a teacher or playground helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Hug from a Friend,A friend hugs you and you like it.,Good touch,It’s a friendly touch. Smiling or saying thank you is okay.,"Teach children to recognize positive, safe touches.",Positive,Story,Enjoy friendly touch from trusted friends.,1,['Teacher']
4–5,School,Feeling Nervous Before a Performance,You feel scared before singing in front of the class.,Safe choice,Take a deep breath and ask your teacher for support.,Teach emotional regulation and asking for help.,Reassuring,Story example,Stay near your teacher and classmates for support.,1,['Teacher']
4–5,School,Someone Hits You by Accident,A friend accidentally hits you with a toy.,Safe mistake,Say 'Ouch!' and tell your teacher if it hurts.,Teach children to distinguish accidents from intentional harm.,Calm,Story,Seek adult help if injured.,1,['Teacher']
4–5,School,Someone Pulls Your Hair,A classmate keeps pulling your hair repeatedly.,Needs help,Say 'Stop!' and go to a teacher immediately.,Teach assertiveness and reporting unsafe behavior.,Firm,Role-play,Tell a trusted adult right away.,2,"['Teacher', 'Child psychologist']"
4–5,School,Classmate Won’t Share,You want to use a toy but a classmate refuses to share.,Safe choice,"Ask politely and, if needed, tell your teacher.",Teach problem-solving and peaceful conflict resolution.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Fire Drill Anxiety,The alarm is loud and you feel scared.,Safe choice,Hold your teacher’s hand and follow classmates calmly.,Teach safety routines and emotional control.,Reassuring,Guided routine,Stay with your teacher and classmates.,1,['Teacher']
4–5,School,Someone Blocks Your Way,A classmate stands in front of you and won’t let you pass.,Needs help,Say 'Excuse me' and find a teacher if they don’t move.,Teach children to assert themselves safely and seek adult help.,Confident,Role-play,Go to a teacher if the situation continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Touches Your Backpack,A classmate reaches into your backpack without asking.,Needs help,Say 'Stop!' and tell a teacher immediately.,Teach personal boundaries and seeking help.,Firm,Story example,Report to a trusted adult.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Pushes You in Line,A classmate keeps pushing you while waiting for your turn.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach children to assert themselves and report unsafe physical actions.,Firm,Role-play,Go to a teacher or classroom helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accident While Drawing,You accidentally spill paint on the floor.,Safe mistake,Tell your teacher and help clean up safely.,Teach responsibility and honesty in classroom accidents.,Calm,Story,Ask the teacher for guidance on cleaning up.,1,['Teacher']
4–5,School,Someone Tries to Take Your Seat,Another student sits on your assigned chair.,Safe choice,Ask politely or tell your teacher if needed.,Teach children conflict resolution and seeking adult help.,Calm,Classroom story,Talk to a teacher if sharing fails.,1,['Teacher']
4–5,School,Feeling Nervous in Class,You feel scared to answer a question in front of classmates.,Safe choice,Take a deep breath and ask the teacher for help if needed.,Teach emotional regulation and asking for guidance.,Reassuring,Story example,Stay near the teacher and try your best.,1,['Teacher']
4–5,School,Someone Hits You on Accident,A friend accidentally hits you while playing.,Safe mistake,Say 'Ouch!' and tell your teacher if it hurts.,Teach children to distinguish accidents from intentional harm.,Calm,Story example,Seek adult help if injured.,1,['Teacher']
4–5,School,Someone Touches You in a Way You Don’t Like,A classmate touches your arm and it feels uncomfortable.,Needs help,Say 'Stop!' and go to your teacher immediately.,Teach children to assert boundaries and report unsafe touch.,Firm,Role-play,Tell a trusted adult right away.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Lonely During Playtime,No one invites you to play with them.,Needs help,Tell the teacher or playground helper you want to join a game.,Encourage social communication and seeking help.,Supportive,Story example,Ask a teacher or helper to help include you.,1,['Teacher']
4–5,School,Someone Takes Your Toy,A classmate grabs your toy without asking.,Needs help,Say 'Stop!' and tell the teacher if it doesn’t work.,Teach children to assert themselves and seek adult help.,Neutral,Role-play,Tell a teacher if sharing fails.,2,['Teacher']
4–5,School,Someone Pulls Your Backpack,A classmate tries to pull your backpack.,Needs help,Say 'Stop!' and tell a teacher immediately.,Teach children to protect belongings and seek help.,Firm,Story example,Go to a trusted adult and report the incident.,2,"['Teacher', 'Child psychologist']"
4–5,School,Teacher Gives You a Friendly High-Five,You answer correctly and the teacher gives you a high-five.,Good touch,It’s a happy touch. Smiling or saying thank you is okay.,Teach children to recognize positive touches from trusted adults.,Positive,Short example,Enjoy friendly touch from trusted adults.,1,['Teacher']
4–5,School,Someone Blocks Your Way,A classmate stands in front of you and won’t let you pass.,Needs help,Say 'Excuse me' and tell a teacher if they don’t move.,Teach children to assert themselves safely and seek adult help.,Confident,Role-play,Go to a teacher if the situation continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Trips You While Running,A classmate trips you on the playground.,Needs help,Tell a teacher immediately.,Teach children to report harmful actions rather than ignoring them.,Firm,Story example,Find a teacher or playground helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Nervous Before Performing,You feel scared before reading aloud to the class.,Safe choice,Take a deep breath and ask your teacher for support.,Teach emotional regulation and asking for help.,Reassuring,Story example,Stay near the teacher and classmates.,1,['Teacher']
4–5,School,Classmate Won’t Share Materials,You want to use a crayon but a classmate refuses to share.,Safe choice,Ask politely and tell your teacher if needed.,Teach peaceful problem-solving and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Someone Takes Your Pencil,A classmate grabs your pencil without asking.,Needs help,Say 'Please give it back' and tell your teacher if it doesn’t work.,Teach children to assert boundaries and seek adult assistance.,Firm,Role-play,Report to a teacher if the problem continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Falling Off a Chair,You accidentally fall off your chair during class.,Needs help,Tell your teacher and get help to stand safely.,Encourage children to report accidents instead of hiding them.,Calm,Story,Ask your teacher for help immediately.,1,['Teacher']
4–5,School,Classmate Teases About Shoes,A friend says your shoes look silly.,Needs help,Tell your teacher about the teasing.,Teach children to report verbal teasing and bullying.,Neutral,Story example,Find a trusted adult and explain how you feel.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accident with Glue,You accidentally spill glue on the table and floor.,Safe mistake,Tell your teacher and help clean up safely.,Teach children responsibility and honesty in classroom accidents.,Calm,Story,Follow the teacher’s instructions to clean safely.,1,['Teacher']
4–5,School,Feeling Nervous to Ask a Question,You don’t understand a lesson and feel scared to ask.,Safe choice,Raise your hand and ask the teacher politely.,Encourage children to seek help instead of feeling anxious alone.,Reassuring,Story example,Ask a trusted adult for guidance.,1,['Teacher']
4–5,School,Someone Tries to Take Your Lunch,A classmate reaches for your lunchbox.,Needs help,Say 'Stop!' and tell your teacher.,Teach children to protect belongings and seek help.,Firm,Role-play,Go to a teacher immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Pushes You on the Playground,A friend pushes you while playing tag.,Needs help,Say 'Stop!' and tell a teacher or playground helper.,Teach children to report unsafe physical actions.,Firm,Story example,Go to a trusted adult for help.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Pulls Your Hair,A classmate keeps pulling your hair after you say stop.,Needs help,Say 'Stop!' loudly and go to your teacher immediately.,Teach children to assert boundaries and report unsafe touch.,Firm,Role-play,Tell a trusted adult right away.,2,"['Teacher', 'Child psychologist']"
4–5,School,Friendly Hug from a Friend,A friend hugs you and you feel happy about it.,Good touch,It’s a friendly touch. Smiling or saying thank you is okay.,"Teach children to recognize positive, safe touches.",Positive,Story,Enjoy friendly touch from trusted friends.,1,['Teacher']
4–5,School,Classmate Blocks Your Way,A student stands in front of you and won’t let you pass.,Needs help,Say 'Excuse me' and tell your teacher if they don’t move.,Teach children to assert themselves safely and seek adult help.,Confident,Role-play,Go to a teacher if the situation continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Trips You Accidentally,A classmate trips you while running outside.,Safe mistake,Tell a teacher if you are hurt or scared.,Teach children to report accidents and differentiate them from intentional harm.,Calm,Story example,Find a trusted adult to explain what happened.,1,['Teacher']
4–5,School,Feeling Nervous for Class Performance,You are scared to recite a poem in front of the class.,Safe choice,Take a deep breath and ask the teacher for support.,Teach children emotional regulation and asking for help.,Reassuring,Story,Stay near the teacher and classmates for support.,1,['Teacher']
4–5,School,Someone Refuses to Share Materials,You want to use a crayon but a classmate refuses to share.,Safe choice,Ask politely and tell the teacher if needed.,Teach peaceful problem-solving and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Someone Reaches for Your Snack,A classmate tries to take your snack without asking.,Needs help,Say 'Stop!' and tell your teacher.,Teach children to protect belongings and seek help when needed.,Firm,Role-play,Go to a trusted adult immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Takes Your Crayon,A classmate grabs your crayon while you are coloring.,Needs help,Say 'Please give it back' and tell the teacher if it doesn’t work.,Teach children to assert boundaries and seek adult help.,Firm,Role-play,Report to a teacher if needed.,2,"['Teacher', 'Child psychologist']"
4–5,School,Falling on Playground Slide,You slip and fall while sliding down the playground slide.,Needs help,Call a teacher or playground helper immediately.,Teach children to seek adult help after playground accidents.,Comforting,Story,Find the nearest adult for help.,1,['Teacher']
4–5,School,Someone Pushes You While Waiting,A classmate keeps pushing you in line for lunch.,Needs help,Say 'Stop!' and tell the teacher on duty.,Teach children to assert themselves and seek help for unsafe physical actions.,Firm,Role-play,Go to a trusted adult immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Pulls Your Chair,A classmate pulls your chair while you are trying to sit.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach children to assert boundaries and seek adult help.,Firm,Role-play,Find a teacher to intervene.,2,"['Teacher', 'Child psychologist']"
4–5,School,Friendly Tap on the Shoulder,A friend taps your shoulder to get your attention.,Good touch,It’s a friendly touch. Smiling or saying hello back is okay.,Teach children to recognize safe and friendly touches.,Positive,Story,Respond positively to trusted friends.,1,['Teacher']
4–5,School,Someone Trips You While Running,A classmate trips you on the playground.,Needs help,Tell a teacher or playground helper immediately.,Teach children to report harmful actions rather than ignoring them.,Firm,Story example,Seek a trusted adult for help.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Nervous During Circle Time,You feel scared to speak in front of classmates during circle time.,Safe choice,Take a deep breath and ask the teacher for support.,Teach children emotional regulation and asking for help.,Reassuring,Story example,Stay near the teacher and classmates for support.,1,['Teacher']
4–5,School,Someone Refuses to Share Materials,You want to use a paintbrush but a classmate refuses to share.,Safe choice,Ask politely and tell the teacher if needed.,Teach peaceful problem-solving and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Someone Tries to Grab Your Backpack,A classmate tries to pull your backpack without permission.,Needs help,Say 'Stop!' and tell a teacher immediately.,Teach children to protect belongings and assert boundaries.,Firm,Role-play,Report the situation to a trusted adult.,2,"['Teacher', 'Child psychologist']"
4–5,School,Friendly High-Five from Teacher,Your teacher gives you a high-five for answering a question.,Good touch,It’s a positive touch. Smiling or saying thank you is okay.,Teach children to recognize safe and positive touches from adults.,Positive,Story,Respond positively to trusted adults.,1,['Teacher']
4–5,School,Someone Blocks Your Way in Hallway,A classmate stands in front of you and won’t let you pass.,Needs help,Say 'Excuse me' and tell your teacher if they don’t move.,Teach children to assert themselves safely and seek adult help.,Confident,Role-play,Find a teacher if the situation continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accidental Knock Over,You accidentally knock over a stack of books.,Safe mistake,Tell your teacher and help clean up safely.,Teach responsibility and honesty in classroom accidents.,Calm,Story,Ask the teacher for guidance to clean up.,1,['Teacher']
4–5,School,Feeling Nervous About Answering,You are scared to answer a question in class.,Safe choice,Take a deep breath and ask the teacher for support.,Teach children to ask for help and manage anxiety.,Reassuring,Story example,Stay near the teacher and classmates.,1,['Teacher']
4–5,School,Classmate Refuses to Share Crayons,You want to color but the classmate refuses to share.,Safe choice,Ask politely and tell the teacher if needed.,Teach children peaceful conflict resolution and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Someone Grabs Your Pencil Case,A classmate tries to take your pencil case without permission.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach children to protect belongings and assert boundaries.,Firm,Role-play,Report to a teacher or classroom helper.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accident While Using Scissors,You accidentally cut your finger while using scissors.,Needs help,Tell your teacher immediately so they can help you and clean the cut.,Teach children to report injuries and use tools safely.,Calm,Story,Go to the teacher immediately for help.,1,['Teacher']
4–5,School,Someone Pushes You in Line,A classmate keeps pushing you while waiting for your turn.,Needs help,Say 'Stop!' and tell your teacher.,Teach assertiveness and reporting unsafe physical behavior.,Firm,Role-play,Find a teacher or playground helper immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Feeling Sick in Class,You feel dizzy or unwell while sitting in class.,Needs help,Tell your teacher how you feel immediately.,Encourage children to report sudden illness.,Comforting,Guided scenario,Go to a trusted adult immediately.,1,['Teacher']
4–5,School,Someone Teases You About Your Clothes,A classmate says your shirt looks funny.,Needs help,Tell your teacher about the teasing instead of feeling upset alone.,Teach children to report emotional discomfort and bullying.,Neutral,Story example,Find a teacher or classroom helper to discuss how you feel.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Takes Your Seat,Another child sits on your assigned chair.,Safe choice,"Ask politely and, if needed, tell your teacher.",Teach children to resolve small conflicts calmly with adult support.,Calm,Classroom story,Speak to the teacher if sharing doesn’t work.,1,['Teacher']
4–5,School,Unfamiliar Adult at the Door,Someone you don’t know tries to enter the classroom.,Needs help,Stay inside and tell your teacher immediately.,Teach children to recognize strangers and report to trusted adults.,Serious,Guided scenario,Do not approach the person; go to your teacher.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Tries to Grab Your Lunch,A classmate reaches for your lunchbox without permission.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach children to protect belongings and seek help.,Firm,Role-play,Go to a trusted adult immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Hits You by Accident,A friend accidentally hits you with a toy.,Safe mistake,Say 'Ouch!' and tell your teacher if it hurts.,Teach children to distinguish accidents from intentional harm.,Calm,Story example,Seek adult help if injured.,1,['Teacher']
4–5,School,Someone Pulls Your Hair,A classmate keeps pulling your hair repeatedly.,Needs help,Say 'Stop!' and go to a teacher immediately.,Teach assertiveness and reporting unsafe behavior.,Firm,Role-play,Tell a trusted adult right away.,2,"['Teacher', 'Child psychologist']"
4–5,School,Classmate Won’t Share a Toy,You want to play with a toy but a classmate refuses to share.,Safe choice,Ask politely and tell your teacher if needed.,Teach children peaceful problem-solving and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Fire Drill Alarm Scares You,"The fire alarm is loud, and you feel scared.",Safe choice,Hold your teacher’s hand and follow classmates calmly.,Teach children safety routines and emotional control.,Reassuring,Guided routine,Stay with your teacher and classmates.,1,['Teacher']
4–5,School,Someone Blocks Your Path,A classmate stands in front of you and won’t let you pass.,Needs help,Say 'Excuse me' and tell a teacher if they don’t move.,Teach children to assert themselves safely and seek adult help.,Confident,Role-play,Go to a teacher if the situation continues.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Touches Your Backpack,A classmate reaches into your backpack without permission.,Needs help,Say 'Stop!' and tell a teacher immediately.,Teach personal boundaries and seeking help.,Firm,Story example,Report to a trusted adult.,2,"['Teacher', 'Child psychologist']"
4–5,School,Friendly High-Five From Teacher,"You answer correctly, and the teacher gives you a high-five.",Good touch,It’s a happy touch. Smiling or saying thank you is okay.,"Teach children to recognize positive, safe touches.",Positive,Story,Enjoy friendly touch from trusted adults.,1,['Teacher']
4–5,School,Someone Trips You Accidentally,A classmate trips you while running outside.,Safe mistake,Tell a teacher if you are hurt or scared.,Teach children to report accidents and differentiate them from intentional harm.,Calm,Story example,Find a trusted adult to explain what happened.,1,['Teacher']
4–5,School,Feeling Nervous for Performance,You feel scared to recite a poem in front of the class.,Safe choice,Take a deep breath and ask the teacher for support.,Teach emotional regulation and asking for help.,Reassuring,Story,Stay near the teacher and classmates for support.,1,['Teacher']
4–5,School,Someone Refuses to Share Crayons,"You want to color, but a classmate refuses to share.",Safe choice,Ask politely and tell the teacher if needed.,Teach peaceful conflict resolution and seeking adult guidance.,Calm,Story,Seek teacher support if sharing fails.,1,['Teacher']
4–5,School,Someone Pulls Your Hair,A classmate keeps pulling your hair repeatedly after you said stop.,Needs help,Say 'Stop!' and go to your teacher immediately.,Teach assertiveness and reporting unsafe behavior.,Firm,Role-play,Tell a trusted adult right away.,2,"['Teacher', 'Child psychologist']"
4–5,School,Accidental Knock Over,You accidentally knock over a stack of books in class.,Safe mistake,Tell your teacher and help clean up safely.,Teach responsibility and honesty in classroom accidents.,Calm,Story,Ask the teacher for guidance to clean up.,1,['Teacher']
4–5,School,Someone Takes Your Art Supplies,A classmate grabs your paintbrush without asking.,Needs help,Say 'Stop!' and tell your teacher immediately.,Teach children to assert boundaries and protect belongings.,Firm,Role-play,Go to a teacher for help.,2,"['Teacher', 'Child psychologist']"
4–5,School,Someone Pushes You on Playground,A classmate pushes you while playing tag.,Needs help,Say 'Stop!' and find a playground helper or teacher.,Teach children to report unsafe physical behavior.,Firm,Story,Seek trusted adult immediately.,2,"['Teacher', 'Child psychologist']"
4–5,School,Friendly Tap on Shoulder,A friend taps your shoulder to get attention.,Good touch,It’s a friendly touch. Smiling or saying hello back is okay.,Teach children to recognize safe and friendly touches.,Positive,Story,Respond positively to trusted friends.,1,['Teacher']
